;; -*- coding: utf-8 -*--
a-bi-guo-min-yin-hang 阿比国民银行
ping-kai 平开
ping-pan-biao-zhun 评判标准
ping-quan 平券
ping-tai-zheng-li 平台整理
ping-wen-yun-xing 平稳运行
ping-wen-zou-shi 平稳走势
ping-xuan-wei 评选为
ping-you 平邮
ping-zheng-shi-guo-zhai 凭证式国债
ping-zheng-shi-zhai-quan 凭证式债券
ping-zhi 平值
ping-zhi-qi-quan 平值期权
ping-zhun-ji-jin 平准基金
po-chan-chong-zu 破产重组
po-chan-ke-zhuan-huan-zheng-quan 破产可转换证券
po-chan-yao-qiu 破产要求
po-xiao-xi-ji 破晓袭击
pu-bian-chu-yu 普遍处于
pu-bian-hui-tiao 普遍回调
pu-bian-ren-ke 普遍认可
pu-die 普跌
pu-dong-fen-hang 浦东分行
pu-fa 浦发
pu-fa-qi-huo 浦发期货
pu-fa-yin-hang 浦发银行
pu-ka 普卡
pu-sheng-jin 普升金
pu-tian 普天
pu-tong-chu-shou 普通出售
pu-tong-fa-shou 普通发售
pu-tong-fu-wu-guan-li-ju 普通服务管理局
pu-tong-gu 普通股
pu-tong-gu-bi-lv 普通股比率
pu-tong-gu-deng-jia-wu 普通股等价物
pu-tong-gu-fen 普通股份
pu-tong-gu-ji-jin 普通股基金
pu-tong-gu-tou-piao 普通股投票
pu-tong-gu-zhi-shu 普通股指数
pu-tong-ti-kuan-quan 普通提款权
pu-tong-zhai-wu-zhai-quan 普通债务债券
pu-tong-zhang-hu 普通账户
pu-zhang 普涨
pu-zhang-tai-shi 普涨态势
qi-bu-jie-duan 起步阶段
qi-che-ban-kuai 汽车板块
qi-che-dai-kuan 汽车贷款
qi-che-dai-kuan-zheng-quan 汽车贷款证券
qi-che-jin-rong-gong-si 汽车金融公司
qi-che-xin-dai 汽车信贷
qi-chu-ku-cun 期初库存
qi-dong-zi-jin 启动资金
qi-huo-ba 期货吧
qi-huo-da-sha 期货大厦
qi-huo-gong-si 期货公司
qi-huo-guan-li 期货管理
qi-huo-he-yue 期货合约
qi-huo-jia-ge 期货价格
qi-huo-jiao-yi-suo 期货交易所
qi-huo-jing-ji-gong-si 期货经纪公司
qi-huo-li-cha-mai-mai 期货利差买卖
qi-huo-long-ting-wang 期货龙听网
qi-huo-mai-ru 期货买入
qi-huo-shi-chang 期货市场
qi-huo-tou-zi 期货投资
qi-huo-wang 期货网
qi-huo-zi-ying-shang 期货自营商
qi-jia-zhi-wei 其价值为
qi-jian-li-xi 期间利息
qi-jiang-zai 其将在
qi-le-cai 七乐彩
qi-lu-jin-rong-wang 齐鲁金融网
qi-lu-zheng-quan 齐鲁证券
qi-mo-bao-biao 期末报表
qi-mo-bao-gao 期末报告
qi-quan-cao-zuo 期权操作
qi-quan-dan 期权单
qi-quan-ding-jia 期权定价
qi-quan-fei 期权费
qi-quan-he-yue 期权合约
qi-quan-jia-ge 期权价格
qi-quan-jiao-huan-xi-tong 期权交换系统
qi-quan-jiao-yi 期权交易
qi-quan-lei-xing 期权类型
qi-quan-mai-fang 期权卖方
qi-quan-qing-suan-gong-si 期权清算公司
qi-quan-ri 期权日
qi-quan-tiao-zheng-cha-jia-fa 期权调整差价法
qi-shi-hao-ma 起始号码
qi-shi-ru-hong 气势如虹
qi-ta-gong-zuo 其他工作
qi-ta-gu-dong 其他股东
qi-ta-guan-yu 其他关于
qi-ta-hang-ye 其他行业
qi-ta-kou-kuan 其他扣款
qi-ta-shi-xiang 其他事项
qi-ta-shou-ru 其他收入
qi-ta-te-se 其他特色
qi-ta-te-se-fu-wu 其他特色服务
qi-ta-yuan-yin 其他原因
qi-ta-zhi-piao-cun-kuan 其他支票存款
qi-wang-shou-yi-lv 期望收益率
qi-xian-san-nian 期限三年
qi-xian-yi-nian 期限一年
qi-xing-cai 七星彩
qi-xue-xing-gu-piao 气穴型股票
qi-yao-qiu 其要求
qi-ye-bian-ma 企业编码
qi-ye-bing-gou 企业并购
qi-ye-cai-wu-gu-wen 企业财务顾问
qi-ye-chong-zu 企业重组
qi-ye-cun-kuan 企业存款
qi-ye-cun-kuan-zheng-ming 企业存款证明
qi-ye-da-xue-wang 企业大学网
qi-ye-fu-hua-qi 企业孵化器
qi-ye-ji-tuan 企业集团
qi-ye-ji-tuan-cai-wu-gong-si 企业集团财务公司
qi-ye-jia 企业家
qi-ye-jin-rong-fu-wu 企业金融服务
qi-ye-jing-ji-xiao-yi 企业经济效益
qi-ye-li-cai-fu-wu 企业理财服务
qi-ye-rong-zi 企业融资
qi-ye-suo-de-shui-fa 企业所得税法
qi-ye-wang-shang-yin-hang 企业网上银行
qi-ye-xian-tou-fa-piao 企业衔头发票
qi-ye-xin-yong-du 企业信用度
qi-ye-yin-hang 企业银行
qi-ye-yin-hang-zhang-hu 企业银行账户
qi-ye-zhai-quan 企业债券
qi-ye-zhai-quan 企业债权
qi-ye-zhai-quan-cheng-xiao 企业债券承销
qi-ye-zhang-hu 企业账户
qi-ye-zu-zhi 企业组织
qi-you-dian 其优点
qi-yuan-yin 其原因
qi-yue-shi-ji-hua 契约式计划
qi-zha-jiao-yi 欺诈交易
qi-zha-zhe 欺诈者
qi-zhi-ri-qi 起止日期
qi-zhong-yi-zhao 其中一招
qian-bao-cuo-wu 签报错误
qian-bi 前笔
qian-cheng-wu-you 前程无忧
qian-chuan-zi 钱串子
qian-dai-wang 钱袋网
qian-ding-shou-xu 签订手续
qian-gun 前滚
qian-guo-zi 签过字
qian-he-tong 签合同
qian-he-tong-qian 签合同前
qian-jing 钱经
qian-jing-bu-cuo 前景不错
qian-jing-bu-le-guan 前景不乐观
qian-jing-kan-you 前景堪忧
qian-jing-zhong-guo-wang 钱景中国网
qian-li-ban-kuai 潜力板块
qian-li-pin-zhong 潜力品种
qian-liang-nian 前两年
qian-qi-gao-dian 前期高点
qian-qi-shi-chang 前期市场
qian-qi-tiao-zheng 前期调整
qian-qi-tou-ru 前期投入
qian-wang-dang-di 前往当地
qian-yan-guan-cha-wang 钱眼观察网
qian-yi-ge 前一个
qian-yi-ge-jiao-yi-ri 前一个交易日
qian-yi-nian 前一年
qian-yue-shou-xu 签约手续
qian-zai-gu-ke 潜在顾客
qian-zai-mai-fang 潜在买方
qian-zai-shou-gou-mu-biao 潜在收购目标
qian-zai-ya-li 潜在压力
qiang-da-ya-li 强大压力
qiang-dan 抢单
qiang-jing-fa-zhan 强劲发展
qiang-jing-zeng-zhang 强劲增长
qiang-ke 枪客
qiang-li-sha-ru 强力杀入
qiang-li-tui-jian 强力推荐
qiang-mao-zi 抢帽子
qiang-shi-chong-gao 强势冲高
qiang-shi-duo-tou 强势多头
qiang-shi-fan-tan 强势反弹
qiang-shi-fan-zhuan 强势反转
qiang-shi-gu 强势股
qiang-shi-shang-gong 强势上攻
qiang-shi-zheng-quan 强势证券
qiang-tiao 枪跳
qiang-xian-jiao-yi 抢先交易
qiang-zhi-bao-xian 强制保险
qiang-zhi-mai-chu 强制卖出
qiang-zhi-pai-mai 强制拍卖
qiang-zhi-qing-suan 强制清算
qiang-zhi-xing-gong-kuan 强制性供款
qiang-zhi-xing-gui-ze 强制性规则
qiang-zhi-zhi-ya 强制置押
qiao-hui 侨汇
qiao-liang-zi-jin 桥梁资金
qiao-xing-huan-qiu 侨兴环球
qie-bu-lun 且不论
qin-mian-jin-ze 勤勉尽责
qing-chui-xun 请垂询
qing-dan-shi-chang 清淡市场
qing-dao-an-xin 青岛安信
qing-dao-guo-ji-yin-hang 青岛国际银行
qing-dao-hai-er 青岛海尔
qing-dao-pi-jiu 青岛啤酒
qing-guan-zhu 请关注
qing-kuang-biao 情况表
qing-nian-cai-fu 青年财富
qing-pi-ren-gou 青啤认购
qing-suan-qi-jian 清算期间
qing-suan-ren 清算人
qing-suan-suo 清算所
qing-suan-suo-cheng-yuan 清算所成员
qing-suan-suo-yin-hang-jian-zhi-fu-xi-tong 清算所银行间支付系统
qing-suan-suo-zi-jin 清算所资金
qing-suan-xi-tong 清算系统
qing-suan-xie-yi 清算协议
qing-suan-yin-hang 清算银行
qing-suan-zhi-du 清算制度
qing-wei-xia-die 轻微下跌
qing-xiang-yu 倾向于
qing-zhi-jie-lian-xi 请直接联系
qu-de-hou-tiao-kuan 取得后条款
qu-de-kong-zhi-quan 取得控制权
qu-de-shou-yi 取得收益
qu-de-zi-jin 取得资金
qu-gan-dai-li-ren-jian-yi 驱赶代理人建议
qu-hui-he-tong-yue-ding 取回合同约定
qu-jian-xian-zhi 区间限制
qu-jue-yu 取决于
qu-kuan-jin-e 取款金额
qu-kuan-ri-qi 取款日期
qu-kuan-tong-zhi-dan 取款通知单
qu-nian-nian-di 去年年底
qu-nian-shou-gou 去年收购
qu-nian-tong-qi 去年同期
qu-qu-kuan 去取款
qu-sha-ji 驱鲨剂
qu-shi-ming-lang 趋势明朗
qu-shi-ming-xian 趋势明显
qu-shi-tou-zi 趋势投资
qu-shi-xian 趋势线
qu-xian 取现
qu-xian-ti-e 曲线提额
qu-xian-wai-zheng-quan 曲线外证券
qu-xiang-cheng-shu 趋向成熟
qu-xiao-po-chan 取消破产
qu-xiao-shang-shi 取消上市
qu-xiao-xin-di-jia 取消辛迪加
qu-yin-hang 去银行
qu-yu-jin-shen 趋于谨慎
qu-yu-xing 区域型
qu-yu-xing 区域性
qu-yu-zeng-zhang 区域增长
quan-bao-zu-lin 全包租赁
quan-bu-da-biao 全部达标
quan-bu-gu-fen 全部股份
quan-bu-huo-bu-fen-zhi-xing 全部或部分执行
quan-bu-man-zu 全部满足
quan-bu-shang-jiao 全部上缴
quan-bu-ting-zhi 全部停止
quan-bu-tou-ru 全部投入
quan-bu-tou-zi 全部投资
quan-bu-tui-huan 全部退还
quan-bu-wei-tuo-huo-bu-wei-tuo 全部委托或不委托
quan-bu-xiao-shou-huo-qu-xiao-xiao-shou 全部销售或取消销售
quan-bu-zhuan-qian 全部赚钱
quan-bu-zhuan-rang 全部转让
quan-bu-zhuan-rang-gei 全部转让给
quan-e-bao-xian 全额保险
quan-e-bao-xiao 全额包销
quan-e-dan-bao 全额担保
quan-e-dao-zhang 全额到账
quan-e-di-ya 全额抵押
quan-e-gou-mai 全额购买
quan-e-huan-kuan 全额还款
quan-e-pei-fu 全额赔付
quan-e-shou-gou 全额收购
quan-e-tui-bao 全额退保
quan-e-yu-jiao 全额预缴
quan-guo-bao-jia-fu-wu 全国报价服务
quan-guo-jin-rong-gong-si 全国金融公司
quan-guo-she-hui-bao-zhang-ji-jin 全国社会保障基金
quan-guo-xing 全国性
quan-jia-gu-piao 全价股票
quan-jing-wang-luo 全景网络
quan-ju-guan 全局观
quan-li-yi-wu 权利义务
quan-liu-tong 全流通
quan-liu-tong-shi-dai 全流通时代
quan-mian-fa-li 全面发力
quan-mian-fan-gong 全面反攻
quan-mian-fan-ji 全面反击
quan-mian-feng-xian-guan-li 全面风险管理
quan-mian-fu-gai 全面覆盖
quan-mian-huo-yue 全面活跃
quan-mian-jin-rong-fu-wu 全面金融服务
quan-mian-kai-fang 全面开放
quan-mian-shang-zhang 全面上涨
quan-mian-shen-ji 全面审计
quan-mian-shi-shi 全面实施
quan-mian-shou-gou 全面收购
quan-mian-xing-shi 全面行使
quan-neng-yin-hang-zhi 全能银行制
quan-qiu-gu-shi 全球股市
quan-qiu-lu-yan 全球路演
quan-qiu-ping-zheng 全球凭证
quan-qiu-shang-ye 全球商业
quan-qiu-shang-ye-jing-dian 全球商业经典
quan-qiu-zi-ben 全球资本
quan-qiu-zi-ben-shi-chang 全球资本市场
quan-quan-tui-jian 全权推荐
quan-quan-xin-tuo 全权信托
quan-quan-you-xian-gu 全权优先股
quan-shang 券商
quan-shang-gai-nian-gu 券商概念股
quan-shang-gui-zhang 券商规章
quan-shang-jie-ke 券商借壳
quan-shang-zhi-tou 券商直投
quan-shang-zhi-tou-ye-wu 券商直投业务
quan-shi-zou-ruan 权势走软
quan-ti-gu-dong 全体股东
quan-tian-cheng-jiao-jin-e 全天成交金额
quan-wei-shu-zi 权威数字
quan-xian-gao-jie 全线告捷
quan-xian-piao-hong 全线飘红
quan-xian-sha-die 全线杀跌
quan-xian-xia-cuo 全线下挫
quan-xian-zhang-ting 全线涨停
quan-yi-hui-bao-lv 权益回报率
quan-yi-lei 权益类
quan-ze-fa-sheng-zhi 权责发生制
quan-zheng 权证
quan-zheng-fen-xi 权证分析
quan-zheng-feng-xian-jie-shi-shu 权证风险揭示书
quan-zheng-jia-ge 权证价格
quan-zheng-jiao-yi 权证交易
quan-zheng-jiao-yi-jia-ge 权证交易价格
quan-zheng-ming-cheng 权证名称
quan-zheng-shi-chang 权证市场
quan-zheng-xue-xiao 权证学校
quan-zhong-gu 权重股
quan-zhong-gu-xia-die 权重股下跌
quan-zhong-tai-da 权重太大
quan-zhong-zhi-biao-gu 权重指标股
quan-zi-yong-you 全资拥有
que-bao-zi-ben 确保资本
que-ding-bao-jia 确定报价
que-ding-zu-zhong-zhi 确定组中值
que-ren-cha-xun-xi-tong 确认查询系统
que-ren-shou-xu 确认手续
que-ren-tiao 确认条
que-shao-tou-cun 缺少头寸
que-zi-jin 缺资金
qun-bai-li-lun 裙摆理论
qun-feng-tou-zi 群丰投资
rang-yin-hang 让银行
re-chao 热炒
re-dian-chu-xian 热点出现
re-dian-fen-xi 热点分析
re-dian-hua-ti 热点话题
re-dian-xiao-shi 热点消失
re-men-gu 热门股
re-men-xin-gu 热门新股
re-men-zhai-quan-qing-dan 热门债券清单
re-qian 热钱
re-xiao-ji-jin 热销基金
ren-dai-ka 人贷卡
ren-ding-biao-zhun 认定标准
ren-ding-dao-qi 认定到期
ren-duo-di-shao 人多地少
ren-gou-cheng-ben 认购成本
ren-gou-dan 认购单
ren-gou-e 认购额
ren-gou-e-du 认购额度
ren-gou-fang-shi 认购方式
ren-gou-lv 认购率
ren-gou-qi-quan 认购期权
ren-gou-quan-zheng 认购权证
ren-gou-xie-yi 认购协议
ren-gou-zheng-fang-shi 认购证方式
ren-gou-zi-ben 认购资本
ren-gou-zi-jin 认购资金
ren-gu-ping-zheng 认股凭证
ren-gu-qi-quan 认沽期权
ren-gu-quan 认股权
ren-gu-quan-zheng 认股权证
ren-gu-quan-zheng 认沽权证
ren-gu-quan-zheng-jia-zhi 认股权证价值
ren-gu-xie-yi 认股协议
ren-gu-zhe 认股者
ren-he-fei-yong 任何费用
ren-he-ke-neng-xing 任何可能性
ren-jun-zhai-wu 人均债务
ren-kou-hong-li 人口红利
ren-kou-tong-ji-qu-shi 人口统计趋势
ren-min-bi-bian-zhi 人民币贬值
ren-min-bi-cun-kuan 人民币存款
ren-min-bi-dai-kuan 人民币贷款
ren-min-bi-dui-huan 人民币兑换
ren-min-bi-dui-mei-yuan 人民币兑美元
ren-min-bi-hui-jia 人民币汇价
ren-min-bi-hui-lv 人民币汇率
ren-min-bi-li-cai 人民币理财
ren-min-bi-sheng-zhi 人民币升值
ren-min-bi-xian-jin 人民币现金
ren-min-bi-ye-wu 人民币业务
ren-min-bi-yi-shang 人民币以上
ren-min-bi-yue 人民币约
ren-min-bi-zhi-du 人民币制度
ren-min-bi-zi-jin 人民币资金
ren-min-bi-zui-xin-hui-lv 人民币最新汇率
ren-min-bi-zuo-you 人民币左右
ren-ren-zhuan-qian 人人赚钱
ren-shen-he-cai-chan-an-quan 人身和财产安全
ren-shi-shi-chang 认识市场
ren-shou-bao-xian 人寿保险
ren-tong-ka 认同卡
ren-tou-shui 人头税
ren-wu-jian-ju 任务艰巨
ren-xuan-zhi-ling 任选指令
ren-yi-fang-xiang-shi-chang 任一方向市场
ren-yi-gong-ji-jin 任意公积金
ren-yuan-pei-xun 人员培训
reng-bao-chi-zai 仍保持在
reng-hui-chi-xu 仍会持续
reng-hui-shang-zhang 仍会上涨
reng-jiang-bao-chi 仍将保持
reng-jiang-wei-chi 仍将维持
reng-jiang-you 仍将有
reng-kan-hao 仍看好
reng-ke-tong-guo 仍可通过
reng-ran-hen-da 仍然很大
reng-ran-wei-chi 仍然维持
reng-wei-cha-jue 仍未察觉
reng-wei-fu-kuan 仍未付款
reng-xian-fa-li 仍显乏力
reng-you-kong-jian 仍有空间
reng-zai-ping-gu 仍在评估
reng-zai-xia-hua 仍在下滑
ri-ben-chang-qi-xin-yong-yin-hang 日本长期信用银行
ri-ben-gu-piao-cun-tuo-ping-zheng 日本股票存托凭证
ri-ben-gu-shi 日本股市
ri-ben-kai-fa-yin-hang 日本开发银行
ri-ben-shu-chu-ru-yin-hang 日本输出入银行
ri-ben-xing-ye-yin-hang 日本兴业银行
ri-ben-yin-hang 日本银行
ri-dai 日贷
ri-huan-shou-lv 日换手率
ri-jian-fan-rong 日见繁荣
ri-jian-fan-rong 日渐繁荣
ri-jian-jiao-yi 日间交易
ri-jiao-yi-dan 日交易单
ri-jiao-yi-e 日交易额
ri-jing-zhi-shu 日经指数
ri-jun-cheng-jiao-liang 日均成交量
ri-jun-jiao-yi-e 日均交易额
ri-qi-cuo-wu 日期错误
ri-xian 日线
ri-yi-ming-xian 日益明显
ri-yuan-zou-shi 日元走势
ri-zhang-die-fu-xian-zhi 日涨跌幅限制
ri-zhao-ren-gou 日照认购
rong-duan-zhi-du 熔断制度
rong-tong-bei-shu 融通背书
rong-tong-dong-li-xian-feng 融通动力先锋
rong-tong-ji-jin 融通基金
rong-tong-ji-jin-guan-li-you-xian-gong-si 融通基金管理有限公司
rong-tong-ling-xian-cheng-zhang 融通领先成长
rong-tong-piao-ju 融通票据
rong-tong-shen-zheng 融通深证
rong-tong-xin-lan-chou 融通新蓝筹
rong-wei-tou-zi 容维投资
rong-xin-da 融信达
rong-zi-bi-li 融资比例
rong-zi-cao-zuo 融资操作
rong-zi-cheng-ben 融资成本
rong-zi-e 融资额
rong-zi-e-du 融资额度
rong-zi-fang-an 融资方案
rong-zi-gui-mo 融资规模
rong-zi-huo-dong 融资活动
rong-zi-ji-hua 融资计划
rong-zi-jin-e 融资金额
rong-zi-jing-li 融资经理
rong-zi-kuan 融资款
rong-zi-li-lv 融资利率
rong-zi-mo-shi 融资模式
rong-zi-qi-xian 融资期限
rong-zi-shi-jian 融资事件
rong-zi-tiao-jian 融资条件
rong-zi-tu-jing 融资途径
rong-zi-wang 融资网
rong-zi-wen-ti 融资问题
rong-zi-xiang-mu 融资项目
rong-zi-xie-yi 融资协议
rong-zi-xing 融资性
rong-zi-xing-wei 融资行为
rong-zi-xu-qiu 融资需求
rong-zi-ya-li 融资压力
rong-zi-ye-wu 融资业务
rong-zi-ye-wu-cao-zuo-liu-cheng 融资业务操作流程
rong-zi-zhuan-yuan 融资专员
rong-zi-zu-lin 融资租赁
rong-zi-zu-lin-he-tong 融资租赁合同
rong-zi-zu-ping 融资租凭
ru-ci-xun-su 如此迅速
ru-dao-qi 如到期
ru-gu-xie-yi 入股协议
ru-guo-an 如果按
ru-guo-bu-gei 如果不给
ru-guo-ke-hu 如果客户
ru-guo-nin-hai 如果您还
ru-guo-nin-hai-xiang 如果您还想
ru-guo-yong-you 如果拥有
ru-he-chu-li 如何处理
ru-he-ji-suan 如何计算
ru-he-kan-dai 如何看待
ru-he-qu-she 如何取舍
ru-he-shou-qu 如何收取
ru-he-wa-jue 如何挖掘
ru-he-you-xiao 如何有效
ru-he-zhou-zhuan 如何周转
ru-ku-cha-xun 入库查询
ru-lin-tou-zi 儒林投资
ru-qi-fu-kuan 如期付款
ru-shi-bi-li 入市比例
ru-xia-biao 如下表
ru-xia-biao-suo-shi 如下表所示
ru-xia-nei-rong 如下内容
ruan-dai-kuan 软贷款
ruan-huo-bi 软货币
ruan-mei-yuan 软美元
ruan-tao-li 软套利
ruan-tong-huo 软通货
ruan-zhuo-lu 软着陆
rui-bang-tou-zi 瑞帮投资
rui-dian-yin-hang 瑞典银行
rui-qi-qi-huo 瑞奇期货
rui-shi-fa-lang 瑞士法郎
rui-shi-guo-jia-yin-hang 瑞士国家银行
rui-shi-lian-he-yin-hang 瑞士联合银行
rui-shi-xin-dai-yin-hang 瑞士信贷银行
rui-shi-yin-hang 瑞士银行
rui-shi-yin-hang-gong-si 瑞士银行公司
rui-yin-chuang-fu-wang 瑞银创富网
rui-yin-ji-tuan 瑞银集团
run-bo-cai-shui 润博财税
run-tian-hua-chuang 润天华创
ruo-gan-tian 若干天
ruo-gan-tiao 若干条
ruo-shi-di-wei 弱势地位
ruo-shi-gu 弱势股
ruo-yao-tu-po 若要突破
sai-le-kai-fu-er-jian-bing-fa-an 塞勒凯弗尔兼并法案
san-ban-shi-chang 三板市场
san-chong-ding 三重顶
san-chong-mian-shui-zhai-quan 三重免税债券
san-da-bao 三大报
san-ge-yue 三个月
san-he-yin-hang 三和银行
san-hu-li-chang 散户离场
san-hu-xian 散户线
san-hu-xian-xia-xing 散户线下行
san-ji-du 三季度
san-ji-du-mo 三季度末
san-jiao-tu 三角图
san-jiao-xing 三角形
san-jing-xin-tuo-yin-hang 三井信托银行
san-jing-yin-hang 三井银行
san-ling-xin-tuo-yin-hang 三菱信托银行
san-ling-yin-hang 三菱银行
san-mu-ji-tuan 三木集团
san-shou-jiao-yi 三手交易
san-yuan-gu-wen 三元顾问
sha-qu-xiao-yi-ge-ding-dan 杀取消一个定单
shan-dong-bao-gao 闪动报告
shan-dong-pin-pai-wang 山东品牌网
shan-dong-shen-guang 山东神光
shan-dong-yin-hang-xie-hui 山东银行协会
shan-jing-wang 陕经网
shan-kou-yin-hang 山口银行
shan-xi-ju-feng 陕西巨丰
shan-xi-zheng-quan 山西证券
shan-zi-fa-xing 擅自发行
shang-bu-zu-yi 尚不足以
shang-chuan-jun-jia-xian 上穿均价线
shang-dai-tan-suo 尚待探索
shang-gang-ren-gou 上港认购
shang-gong-dong-neng 上攻动能
shang-gong-hang-qing 上攻行情
shang-gong-qian-li 上攻潜力
shang-gun 上滚
shang-hai-cai-jing-da-xue 上海财经大学
shang-hai-chan-quan-wang 上海产权网
shang-hai-fen-hang 上海分行
shang-hai-jia-bai 上海嘉柏
shang-hai-jin-rong-xue-yuan 上海金融学院
shang-hai-pu-dong-fa-zhan-yin-hang 上海浦东发展银行
shang-hai-qi-che 上海汽车
shang-hai-qi-huo-da-sha 上海期货大厦
shang-hai-sen-yang-tou-zi 上海森洋投资
shang-hai-tai-teng 上海泰腾
shang-hai-xin-lan-de 上海新兰德
shang-hai-xin-zi-yuan 上海新资源
shang-hai-you-se-jin-shu-wang 上海有色金属网
shang-hai-zhen-lei-tou-zi 上海震雷投资
shang-hai-zheng-quan 上海证券
shang-hai-zheng-quan-bao 上海证券报
shang-hai-zheng-quan-jiao-yi-suo 上海证券交易所
shang-hai-zhong-qi 上海中期
shang-ji-suo-zai 商机所在
shang-ji-zai-xian 商机在线
shang-jiao-suo 上交所
shang-jie-ping-lun 商界评论
shang-jie-zai-xian 商界在线
shang-pin-ben-wei-zhi 商品本位制
shang-pin-di-ya-dai-kuan 商品抵押贷款
shang-pin-he-fu-wu 商品和服务
shang-pin-hua 商品化
shang-pin-ji-zi-cao-zuo-zhe 商品集资操作者
shang-pin-jia-ge 商品价格
shang-pin-jiao-yi-chang-suo 商品交易场所
shang-pin-jiao-yi-gu-wen 商品交易顾问
shang-pin-jiao-yi-zhong-xin 商品交易中心
shang-pin-qi-huo 商品期货
shang-pin-qi-huo-jiao-yi-wei-yuan-hui 商品期货交易委员会
shang-pin-qi-huo-tao-li 商品期货套利
shang-pin-qi-huo-tou-zi 商品期货投资
shang-pin-shi-chang 商品市场
shang-pin-shui-shou-tao-li 商品税收套利
shang-pin-yi-tuo-zhai-quan 商品依托债券
shang-pin-zhuan-men-zhang-hu 商品专门账户
shang-qi-ren-gou 上汽认购
shang-ren-yin-hang 商人银行
shang-she-ru-gou-mai 上舍入购买
shang-sheng 上升
shang-sheng-hang-qing 上升行情
shang-sheng-kong-jian 上升空间
shang-sheng-lang 上升浪
shang-sheng-qu-shi 上升趋势
shang-sheng-tong-dao 上升通道
shang-shi-chou-ji 上市筹集
shang-shi-fu-dao 上市辅导
shang-shi-gong-si 上市公司
shang-shi-gong-si-zhi-liang 上市公司质量
shang-shi-gong-zuo 上市工作
shang-shi-gui-ze 上市规则
shang-shi-ji-hua 上市计划
shang-shi-ji-zi 上市集资
shang-shi-jia-ge 上市价格
shang-shi-jiao-yi 上市交易
shang-shi-mo-shi 上市模式
shang-shi-qi-quan 上市期权
shang-shi-qian-wei-tuo 上市前委托
shang-shi-qing-kuang 上市情况
shang-shi-shu-liang 上市数量
shang-shi-tu-jing 上市途径
shang-shi-zheng-quan 上市证券
shang-shu-ren-yuan 上述人员
shang-shu-xie-yi 上述协议
shang-tiao-li-lv 上调利率
shang-tiao-wei 上调为
shang-tong-ka 商通卡
shang-tou 上投
shang-tou-a-er-fa 上投阿尔法
shang-tou-cheng-zhang 上投成长
shang-tou-mo-gen 上投摩根
shang-tou-mo-gen-ji-jin-guan-li-you-xian-gong-si 上投摩根基金管理有限公司
shang-tou-nei-xu-dong-li 上投内需动力
shang-wang-ding-jia-fa-xing 上网定价发行
shang-wang-fa-xing 上网发行
shang-wang-jing-jia-fa-xing 上网竞价发行
shang-wei-fang-kai 尚未放开
shang-wei-jiao-yi 尚未交易
shang-wei-qu-de 尚未取得
shang-wu-ying-yu 商务英语
shang-wu-zhou-kan 商务周刊
shang-xia-bo-dong 上下波动
shang-xia-you-chang-shang 上下游厂商
shang-xia-zhen-dang 上下震荡
shang-xing 上行
shang-xing-qu-shi 上行趋势
shang-ye-bao-xian 商业保险
shang-ye-dai-kuan 商业贷款
shang-ye-di-ya-dai-kuan 商业抵押贷款
shang-ye-dian-xun 商业电讯
shang-ye-fa-piao 商业发票
shang-ye-fa-piao-tie-xian 商业发票贴现
shang-ye-jie-kuan-ren 商业借款人
shang-ye-liang-shi-ku-cun 商业粮食库存
shang-ye-piao-ju 商业票据
shang-ye-piao-ju-dui-huan-xing 商业票据兑换行
shang-ye-xin-yong 商业信用
shang-ye-xin-yong-zhang-hu 商业信用帐户
shang-ye-xin-yong-zheng 商业信用证
shang-ye-xing-tao-qi-bao-zhi 商业性套期保值
shang-ye-xing-wei-wei-yuan-hui 商业行为委员会
shang-ye-yin-hang 商业银行
shang-ye-yin-hang-dai-kuan 商业银行贷款
shang-ye-yin-hang-fa 商业银行法
shang-ye-you-jing 商业油井
shang-ye-zhe-kou 商业折扣
shang-ye-zheng-quan 商业证券
shang-ye-zheng-xin-suo 商业征信所
shang-ye-zhou-kan 商业周刊
shang-yu 商誉
shang-zhang-dong-li 上涨动力
shang-zhang-fu-du 上涨幅度
shang-zhang-guo-cheng 上涨过程
shang-zhang-hang-qing 上涨行情
shang-zhang-kong-jian 上涨空间
shang-zhang-qu-shi 上涨趋势
shang-zhang-shi-chang 上涨市场
shang-zhang-shi-tou 上涨势头
shang-zhang-ya-li 上涨压力
shang-zheng-lian 上证联
shang-zheng-zhi-shu 上证指数
shang-zheng-zong-yan 上证综研
shang-zheng-zong-zhi 上证综指
shao-shu-gu-dong-chi-gu 少数股东持股
shao-shu-gu-dong-li-yi 少数股东利益
shao-shu-gu-quan 少数股权
she-bao-ji-jin 社保基金
she-bei-xin-tuo-ping-zheng 设备信托凭证
she-bei-zhai-quan 设备债券
she-ding-jia-zhi 设定价值
she-hui-bao-xian 社会保险
she-hui-bao-zhang-zi-jin 社会保障资金
she-hui-gong-qiu 社会供求
she-hui-liu-tong-gu 社会流通股
she-hui-tuan-ti 社会团体
she-ji-chan-pin 设计产品
she-ji-neng-li 设计能力
she-li-duo-jia 设立多家
she-shui-an-jian 涉税案件
she-xian-jing-zhe 设陷阱者
she-xiao 赊销
she-xing-fu-dong 蛇行浮动
she-xing-hui-lv-zhi 蛇形汇率制
she-you-fen-hang 设有分行
she-zhi-shou-gou-zhang-ai 设置收购障碍
shen-bao-lv 申报率
