;; -*- coding: utf-8 -*--
a-ba-zhou-lin-ye-zhong-xin-yi-yuan 阿坝州林业中心医院
qi-dong-shi-wang-bao-yi-yuan 启东市王鲍医院
qi-dong-shi-xian-dai-nan-ke-yi-yuan 启东市现代男科医院
qi-dong-shi-zhong-liu-yi-yuan 启东市肿瘤医院
qi-dong-shi-zhong-mei-you-hao-yi-yuan 启东市中美友好医院
qi-dong-shi-zhong-yi-yuan 启东市中医院
qi-dong-xian-di-san-ren-min-yi-yuan 祁东县第三人民医院
qi-dong-xian-ren-min-yi-yuan 祁东县人民医院
qi-dong-yi-yuan 启东医院
qi-dou-yi-yuan 齐都医院
qi-du-wei-sheng-yuan 七都卫生院
qi-fang-wei-sheng-yuan 七方卫生院
qi-feng-zheng-gu-yi-yuan 起凤整骨医院
qi-feng-zhong-xin-wei-sheng-yuan 起凤中心卫生院
qi-fu-yi-yuan 祈福医院
qi-gong-si-yi-yuan 七公司医院
qi-guan-yan-xiao-chuan-yi-yuan 气管炎哮喘医院
qi-he-ren-min-yi-yuan 齐河人民医院
qi-he-xian-fu-you-bao-jian-yuan 齐河县妇幼保健院
qi-he-xian-zhong-yi-yuan 齐河县中医院
qi-jiang-xian-fu-you-bao-jian-yuan 綦江县妇幼保健院
qi-jiang-xian-ren-min-yi-yuan 綦江县人民医院
qi-jiang-xian-zhong-yi-yuan 綦江县中医院
qi-jiang-zhong-yi-yuan 綦江中医院
qi-li-hai-yi-yuan 七里海医院
qi-li-xiang-wei-sheng-yuan 七里乡卫生院
qi-lian-di-duan-yi-yuan 祁连地段医院
qi-lin-fu-nv-er-tong-yi-yuan 麒麟妇女儿童医院
qi-lin-qu-ren-min-yi-yuan 麒麟区人民医院
qi-lin-yi-yuan 麒麟医院
qi-lin-zhen-suo 奇霖诊所
qi-ling-yi-yuan 齐陵医院
qi-lu-shi-hua-yi-yuan-ji-tuan-zhong-xin-yi-yuan 齐鲁石化医院集团中心医院
qi-lu-yi-yuan-yi-nan-fen-yuan 齐鲁医院沂南分院
qi-lun-ji-yi-yuan 汽轮机医院
qi-lun-yi-yuan 汽轮医院
qi-mei-ji-tuan-zong-yi-yuan 七煤集团总医院
qi-men-xian-yi-yuan 祁门县医院
qi-men-zhong-yi-yuan 祁门中医院
qi-ming-xing-yan-ke-yi-yuan 启明星眼科医院
qi-ming-xing-yi-yuan 启明星医院
qi-qi-ha-er-li-ren-nv-zi-yi-yuan 齐齐哈尔丽人女子医院
qi-qi-ha-er-shi-fu-ke-yi-yuan 齐齐哈尔市妇科医院
qi-qi-ha-er-shi-fu-you-bao-jian-yuan 齐齐哈尔市妇幼保健院
qi-qi-ha-er-xian-dai-nan-ke-yi-yuan 齐齐哈尔现代男科医院
qi-qi-ha-er-yi-chong-yi-yuan 齐齐哈尔一重医院
qi-qu-yi-yuan 戚区医院
qi-ren-min-yi-yuan 旗人民医院
qi-shan-xian-yi-yuan 岐山县医院
qi-shan-xian-zhong-yi-yi-yuan 岐山县中医医院
qi-shan-yi-yuan 岐山医院
qi-shi-di-qi-yi-yuan 齐市第七医院
qi-shi-san-yi-yuan 七十三医院
qi-shi-xia-lang-wei-sheng-zhan 企石霞朗卫生站
qi-shi-yi-yuan 骑士医院
qi-shi-yi-yuan 企石医院
qi-tai-he-shi-fu-you-bao-jian-yuan 七台河市妇幼保健院
qi-tai-he-shi-ren-min-yi-yuan 七台河市人民医院
qi-tai-he-shi-zhong-yi-yuan 七台河市中医院
qi-tai-xian-ren-min-yi-yuan 奇台县人民医院
qi-tai-xian-zhong-yi-yuan 奇台县中医院
qi-tai-yi-yuan 奇台医院
qi-xia-qu-yi-yuan 栖霞区医院
qi-xia-shi-zhao-shi-gu-shang-yi-yuan 栖霞市赵氏骨伤医院
qi-xian-di-er-ren-min-yi-yuan 杞县第二人民医院
qi-xian-ren-min-yi-yuan 杞县人民医院
qi-xian-ren-min-yi-yuan 淇县人民医院
qi-xian-ren-min-yi-yuan 祁县人民医院
qi-xian-yan-bing-yi-yuan 杞县眼病医院
qi-xian-yi-yuan 齐贤医院
qi-xian-yi-yuan 杞县医院
qi-xian-yi-yuan 祁县医院
qi-xian-zhong-yi-yuan 杞县中医院
qi-xian-zhong-yi-yuan 淇县中医院
qi-xiang-yi-yuan 气象医院
qi-xing-wei-sheng-yuan 七星卫生院
qi-xing-yi-yuan 七星医院
qi-yang-xian-di-er-ren-min-yi-yuan 祁阳县第二人民医院
qi-yang-xian-ren-min-yi-yuan 祁阳县人民医院
qi-yang-zhong-yi-yuan 祁阳中医院
qi-ye-yi-yuan 七冶医院
qi-yun-yi-yuan 汽运医院
qian-an-shi-fu-you-bao-jian-yuan 迁安市妇幼保健院
qian-an-shi-ren-min-yi-yuan 迁安市人民医院
qian-an-shi-zhong-yi-yi-yuan 迁安市中医医院
qian-an-xian-yi-yuan 乾安县医院
qian-an-xian-zhong-yi-yuan 乾安县中医院
qian-chui-tang 千锤堂
qian-da-yu-zhen-suo 钱大宇诊所
qian-deng-ren-min-yi-yuan 千灯人民医院
qian-dian-yi-yuan 前甸医院
qian-dong-nan-chang-jiang-nv-zi-yi-yuan 黔东南长江女子医院
qian-dong-nan-fu-chan-yi-yuan 黔东南妇产医院
qian-dong-nan-xie-he-yi-yuan 黔东南协和医院
qian-dong-nan-zhou-ren-min-yi-yuan 黔东南州人民医院
qian-feng-nong-chang-yi-yuan 前锋农场医院
qian-feng-wei-sheng-yuan 前锋卫生院
qian-feng-yi-yuan 前锋医院
qian-fo-shan-yi-yuan 千佛山医院
qian-guo-xian-yi-yuan 前郭县医院
qian-guo-xian-zhong-yi-yuan 前郭县中医院
qian-hai-yi-yuan 前海医院
qian-hu-yi-yuan 钱湖医院
qian-huang-yi-yuan 前黄医院
qian-ji-wei-sheng-yuan 浅集卫生院
qian-jia-ying-yi-yuan 钱家营医院
qian-jiang-min-zu-yi-yuan 黔江民族医院
qian-jiang-qu-fu-you-bao-jian-yuan 黔江区妇幼保健院
qian-jiang-qu-zhong-yi-yuan 黔江区中医院
qian-jiang-shi-er-yi-yuan 潜江市二医院
qian-jiang-shi-fu-you-bao-jian-yuan 潜江市妇幼保健院
qian-jiang-shi-zhong-xin-yi-yuan 潜江市中心医院
qian-jiang-shi-zhong-yi-yuan 潜江市中医院
qian-jiang-yi-yuan 钱江医院
qian-jiang-zhong-xin-yi-yuan 黔江中心医院
qian-jin-men-zhen-bu 前进门诊部
qian-jin-wei-sheng-suo 前进卫生所
qian-jin-wei-sheng-yuan 前进卫生院
qian-jin-xiang-wei-sheng-yuan 前进乡卫生院
qian-jin-yi-yuan 前进医院
qian-jin-zhen-suo 前进诊所
qian-kun-yi-yuan 乾坤医院
qian-li-ming-shi-li-bao-jian-kang-fu-zhong-xin 千里明视力保健康复中心
qian-li-ming-shi-li-kang-fu-bao-jian-zhong-xin 千里明视力康复保健中心
qian-li-ming-shi-li-kang-fu-zhong-xin 千里明视力康复中心
qian-ling-dong-wu-yi-yuan 黔灵动物医院
qian-men-zhong-yi-yuan 前门中医院
qian-nan-zhou-ren-min-yi-yuan 黔南州人民医院
qian-nan-zhou-yi-yuan 黔南州医院
qian-nan-zhou-zhong-yi-yuan 黔南州中医院
qian-pu-yi-yuan 前埔医院
qian-qi-yi-yuan 前旗医院
qian-qing-ren-min-yi-yuan 钱清人民医院
qian-shan-qu-yi-yuan 千山区医院
qian-shan-xian-fu-you-bao-jian-yuan 铅山县妇幼保健院
qian-shan-xian-yi-yuan 潜山县医院
qian-shan-xian-zhong-yi-yuan 铅山县中医院
qian-shao-yi-yuan 前哨医院
qian-shi-zhong-yi-jing-shen-bing-yi-yuan 钱氏中医精神病医院
qian-wei-men-zhen 前卫门诊
qian-wei-xian-ren-min-yi-yuan 犍为县人民医院
qian-wu-yi-yuan 乾务医院
qian-xi-nan-zhou-ren-min-yi-yuan 黔西南州人民医院
qian-xi-nan-zhou-zhong-xin-xue-zhan 黔西南州中心血站
qian-xi-nan-zhou-zhong-yi-yuan 黔西南州中医院
qian-xi-xian-fu-you-bao-jian-yuan 迁西县妇幼保健院
qian-xi-xian-fu-you-bao-jian-yuan 黔西县妇幼保健院
qian-xi-xian-ren-min-yi-yuan 黔西县人民医院
qian-xi-xian-yi-yuan 迁西县医院
qian-xi-xian-zhong-yi-yuan 迁西县中医院
qian-xi-xian-zhong-yi-yuan 黔西县中医院
qian-xian-fu-you-bao-jian-yuan 乾县妇幼保健院
qian-xian-ren-min-yi-yuan 乾县人民医院
qian-xian-zhong-yi-yi-yuan 乾县中医医院
qian-yang-xian-fu-you-bao-jian-yuan 千阳县妇幼保健院
qian-yang-xian-ren-min-yi-yuan 千阳县人民医院
qian-yang-xian-zhong-yi-yi-yuan 千阳县中医医院
qian-zhou-zhen-wei-sheng-yuan 前洲镇卫生院
qiao-bei-yi-yuan 桥北医院
qiao-dong-men-zhen-bu 桥东门诊部
qiao-dong-qu-fu-you-bao-jian-zhan 桥东区妇幼保健站
qiao-dong-qu-yi-yuan 桥东区医院
qiao-dong-she-qu-wei-sheng-fu-wu-zhong-xin 桥东社区卫生服务中心
qiao-dong-wei-sheng-yuan 桥东卫生院
qiao-dong-yi-yuan 桥东医院
qiao-guang-yi-yuan 侨光医院
qiao-jia-xian-ren-min-yi-yuan 巧家县人民医院
qiao-jia-xian-zhong-yi-yuan 巧家县中医院
qiao-kou-qu-fu-you-bao-jian-yuan 硚口区妇幼保健院
qiao-kou-yi-yuan 硚口医院
qiao-li-zhong-yi-yuan 侨立中医院
qiao-nan-yi-yuan 桥南医院
qiao-tou-wei-sheng-yuan 桥头卫生院
qiao-tou-xiang-wei-sheng-yuan 桥头乡卫生院
qiao-tou-yi-yuan 桥头医院
qiao-xi-yi-yuan 桥西医院
qiao-yi-yuan-ren-min-yi-yuan 侨怡苑人民医院
qiao-yi-yuan-yi-yuan 侨怡苑医院
qie-mo-xian-ren-min-yi-yuan 且末县人民医院
qin-an-xian-ren-min-yi-yuan 秦安县人民医院
qin-an-xian-zhong-yi-yi-yuan 秦安县中医医院
qin-cai-xia-zhong-yi-fu-ke-zhen-suo 秦彩霞中医妇科诊所
qin-du-kou-qiang-yi-yuan 秦都口腔医院
qin-huai-qu-fu-you-bao-jian-suo 秦淮区妇幼保健所
qin-huai-zhong-yi-yuan 秦淮中医院
qin-huang-dao-feng-shi-gu-bing-yi-yuan 秦皇岛风湿骨病医院
qin-huang-dao-shi-di-ba-yi-yuan 秦皇岛市第八医院
qin-huang-dao-shi-di-er-yi-yuan 秦皇岛市第二医院
qin-huang-dao-shi-gong-ren-yi-yuan 秦皇岛市工人医院
qin-huang-dao-shi-gu-ke-yi-yuan 秦皇岛市骨科医院
qin-huang-dao-shi-jiu-long-shan-yi-yuan 秦皇岛市九龙山医院
qin-ling-yi-yuan 秦岭医院
qin-nan-qu-bao-jian-yuan 钦南区保健院
qin-shan-yi-yuan 秦山医院
qin-shui-xian-ren-min-yi-yuan 沁水县人民医院
qin-shui-xian-yi-yuan 沁水县医院
qin-tang-qu-ren-min-yi-yuan 覃塘区人民医院
qin-tong-ren-min-yi-yuan 溱潼人民医院
qin-tong-yi-yuan 秦通医院
qin-xian-fu-you-bao-jian-yuan 沁县妇幼保健院
qin-xian-ren-min-yi-yuan 沁县人民医院
qin-yang-shi-yi-yuan 沁阳市医院
qin-yuan-ren-ai-yi-yuan 沁源仁爱医院
qin-yuan-xian-ren-min-yi-yuan 沁源县人民医院
qin-zhou-chang-cheng-men-zhen-bu 钦州长城门诊部
qin-zhou-gang-bin-hai-yi-yuan 钦州港滨海医院
qin-zhou-shi-di-er-ren-min-yi-yuan 钦州市第二人民医院
qin-zhou-shi-hong-shi-zi-hui-yi-yuan 钦州市红十字会医院
qin-zhou-shi-xie-he-yi-yuan 钦州市协和医院
qing-an-jie-she-qu-wei-sheng-fu-wu-zhan 庆安街社区卫生服务站
qing-an-yi-yuan 庆安医院
qing-bai-jiang-qu-fu-you-bao-jian-yuan 青白江区妇幼保健院
qing-bai-jiang-qu-ren-min-yi-yuan 青白江区人民医院
qing-bai-jiang-qu-zhong-yi-xue-fang-yi-yuan 青白江区中医血防医院
qing-cheng-xian-ma-ling-zhong-xin-wei-sheng-yuan 庆城县马岭中心卫生院
qing-cheng-xian-ren-min-yi-yuan 庆城县人民医院
qing-cheng-ya-yi 青城牙医
qing-chuan-xian-zhong-yi-yuan 青川县中医院
qing-dao-da-xue-yi-xue-yuan-fu-shu-yi-yuan 青岛大学医学院附属医院
qing-dao-da-xue-yi-yuan 青岛大学医院
qing-dao-fu-you-bao-jian-yuan 青岛妇幼保健院
qing-dao-gang-chang-yi-yuan 青岛肛肠医院
qing-dao-gong-an-xiao-fang-yi-yuan 青岛公安消防医院
qing-dao-guang-ji-xin-li-yi-yuan 青岛广济心理医院
qing-dao-hai-yuan-yi-yuan 青岛海员医院
qing-dao-heng-bo-yi-yuan 青岛恒博医院
qing-dao-hui-kang-yi-yuan 青岛惠康医院
qing-dao-jian-min-yi-yuan 青岛健民医院
qing-dao-jin-da-kang-men-zhen-bu 青岛金达康门诊部
qing-dao-jing-kang-yi-yuan 青岛静康医院
qing-dao-jun-liang-shao-shang-yi-yuan 青岛君良烧伤医院
qing-dao-kai-fa-qu-fu-you-bao-jian-suo 青岛开发区妇幼保健所
qing-dao-kai-fa-qu-ren-ji-men-zhen-bu 青岛开发区仁济门诊部
qing-dao-kai-fa-qu-zhong-shan-men-zhen 青岛开发区中山门诊
qing-dao-min-jian-yi-yuan 青岛民建医院
qing-dao-min-zheng-yi-yuan 青岛民正医院
qing-dao-ming-ji-yan-ke 青岛明基眼科
qing-dao-nao-bing-kang-fu-yi-yuan 青岛脑病康复医院
qing-dao-ru-xian-bing-yi-yuan 青岛乳腺病医院
qing-dao-shi-cheng-yang-qu-ren-min-yi-yuan 青岛市城阳区人民医院
qing-dao-shi-chuan-ran-bing-yi-yuan 青岛市传染病医院
qing-dao-shi-di-qi-ren-min-yi-yuan 青岛市第七人民医院
qing-dao-shi-di-san-yi-yuan 青岛市第三医院
qing-dao-shi-hai-yi-yuan 青岛世海医院
qing-dao-shi-kou-qiang-yi-yuan 青岛市口腔医院
qing-dao-shi-mai-dao-jing-shen-bing-yuan 青岛市麦岛精神病院
qing-dao-shi-pi-fu-bing-fang-zhi-yuan 青岛市皮肤病防治院
qing-dao-shi-shi-li-yi-yuan-dong-yuan-qu 青岛市市立医院东院区
qing-dao-shi-shi-nan-qu-fu-shan-yi-yuan 青岛市市南区浮山医院
qing-dao-shi-xiong-ke-yi-yuan 青岛市胸科医院
qing-dao-shu-guang-yi-yuan 青岛曙光医院
qing-dao-shu-ren-san-cha-shen-jing-tong-yi-yuan 青岛树仁三叉神经痛医院
qing-dao-tong-ji-shou-wai-gu-ke-yi-yuan 青岛同济手外骨科医院
qing-dao-wei-kang-yi-yuan 青岛维康医院
qing-dao-wei-xiao-kou-qiang-yi-yuan 青岛卫校口腔医院
qing-dao-xian-dai-dong-fang-yan-ke-yi-yuan 青岛现代东方眼科医院
qing-dao-xian-dai-yi-yuan 青岛现代医院
qing-dao-xie-he-fu-chan-yi-yuan 青岛协合妇产医院
qing-dao-xin-an-zhong-yi-yuan 青岛新安中医院
qing-dao-xin-yong-an-yi-yuan 青岛新永安医院
qing-dao-yan-ke-yi-yuan 青岛眼科医院
qing-dao-yan-ye-zhi-gong-yi-yuan 青岛盐业职工医院
qing-dao-yi-xue-yuan-fu-shu-yi-yuan 青岛医学院附属医院
qing-dao-you-hao-yi-yuan 青岛友好医院
qing-dao-zao-zhi-yi-yuan 青岛造纸医院
qing-dao-zhong-liu-zi-xun-zhong-xin 青岛肿瘤咨询中心
qing-dao-zhong-xi-yi-jie-he-yi-yuan 青岛中西医结合医院
qing-fang-yi-yuan 轻纺医院
qing-feng-xian-di-san-ren-min-yi-yuan 清丰县第三人民医院
qing-feng-xian-ren-min-yi-yuan 清丰县人民医院
qing-feng-xian-zhong-yi-yuan 清丰县中医院
qing-feng-yi-yuan 庆丰医院
qing-gang-xian-ren-min-yi-yuan 青冈县人民医院
qing-gang-yi-yuan 青钢医院
qing-geng-tang-zhong-yi-zhen-suo 庆庚堂中医诊所
qing-gong-yi-yuan 轻工医院
qing-hai-da-xue-fu-shu-yi-yuan 青海大学附属医院
qing-hai-hua-gong-yi-yuan 青海化工医院
qing-hai-min-ge-zhong-shan-yi-yuan 青海民革中山医院
qing-hai-ren-ji-yi-yuan 青海仁济医院
qing-hai-sheng-di-san-ren-min-yi-yuan 青海省第三人民医院
qing-hai-sheng-di-si-ren-min-yi-yuan 青海省第四人民医院
qing-hai-sheng-di-wu-ren-min-yi-yuan 青海省第五人民医院
qing-hai-sheng-fu-li-ci-shan-yi-yuan 青海省福利慈善医院
qing-hai-sheng-fu-nv-er-tong-yi-yuan 青海省妇女儿童医院
qing-hai-sheng-fu-you-bao-jian-yuan 青海省妇幼保健院
qing-hai-sheng-hong-shi-zi-yi-yuan 青海省红十字医院
qing-hai-sheng-jiao-tong-yi-yuan 青海省交通医院
qing-hai-sheng-kang-fu-yi-yuan 青海省康复医院
qing-hai-sheng-xin-xue-guan-bing-zhuan-ke-yi-yuan 青海省心血管病专科医院
qing-hai-sheng-yi-yuan 青海省医院
qing-hai-sheng-zang-yi-yuan 青海省藏医院
qing-hai-sheng-zhong-xi-yi-jie-he-yi-yuan 青海省中西医结合医院
qing-hai-sheng-zhong-yi-yuan 青海省中医院
qing-hai-xing-hua-yi-yuan 青海兴华医院
qing-hai-yi-xue-yuan-fu-shu-yi-yuan 青海医学院附属医院
qing-hai-you-tian-zhi-gong-zong-yi-yuan 青海油田职工总医院
qing-he-di-er-yi-yuan 清河第二医院
qing-he-ji-jiu-zhong-xin 清河急救中心
qing-he-men-qu-yi-yuan 清河门区医院
qing-he-men-zhen 清河门诊
qing-he-qu-yi-yuan 清河区医院
qing-he-she-qu-wei-sheng-fu-wu-zhan 清河社区卫生服务站
qing-he-tang 清和堂
qing-he-xian-ren-min-yi-yuan 青河县人民医院
qing-he-xian-ren-min-yi-yuan 清河县人民医院
qing-he-xian-zhong-yi-yuan 清河县中医院
qing-he-yi-yuan 清河医院
qing-hong-qiao-yi-yuan 庆虹桥医院
qing-hua-da-xue-di-er-fu-shu-yi-yuan 清华大学第二附属医院
qing-hua-da-xue-xiao-yi-yuan 清华大学校医院
qing-hua-da-xue-yu-quan-yi-yuan 清华大学玉泉医院
qing-hua-men-zhen-bu 清华门诊部
qing-hua-wei-sheng-yuan 青华卫生院
qing-hua-yi-yuan 庆华医院
qing-hua-yi-yuan 清化医院
qing-hua-yi-yuan 清华医院
qing-jian-xian-ren-min-yi-yuan 清涧县人民医院
qing-jiang-yi-yuan 清江医院
qing-long-man-zu-zi-zhi-xian-yi-yuan 青龙满族自治县医院
qing-long-qiao-yi-yuan 青龙桥医院
qing-long-shan-jing-shen-bing-yuan 青龙山精神病院
qing-long-shan-yi-yuan 青龙山医院
qing-long-wei-sheng-yuan 青龙卫生院
qing-long-xian-fu-you-bao-jian-yuan 青龙县妇幼保健院
qing-long-xian-yi-yuan 青龙县医院
qing-long-yi-yuan 青龙医院
qing-long-zhen-wei-sheng-yuan 青龙镇卫生院
qing-long-zhong-yi-yuan 青龙中医院
qing-mu-guan-zhong-xin-yi-yuan 青木关中心医院
qing-nian-gou-yi-yuan 青年沟医院
qing-nian-lu-yi-yuan 青年路医院
qing-nian-she-qu-wei-sheng-fu-wu-zhong-xin 青年社区卫生服务中心
qing-ping-wei-sheng-yuan 清平卫生院
qing-ping-yi-yuan 青平医院
qing-pu-qu-qing-cheng-yi-yuan 青浦区青城医院
qing-pu-qu-zhong-yi-yi-yuan 青浦区中医医院
qing-pu-qu-zhong-yi-yuan 青浦区中医院
qing-quan-zhen-wei-sheng-yuan 清泉镇卫生院
qing-shan-chuan-chang-yi-yuan 青山船厂医院
qing-shan-qu-fu-you-bao-jian-yuan 青山区妇幼保健院
qing-shan-qu-yi-yuan 青山区医院
qing-shan-qu-zhong-yi-yuan 青山区中医院
qing-shan-xiang-wei-sheng-yuan 青山乡卫生院
qing-shan-yi-yuan 青山医院
qing-shan-zhen-wei-sheng-yuan 青山镇卫生院
qing-shen-xian-ren-min-yi-yuan 青神县人民医院
qing-shen-xian-zhong-yi-yuan 青神县中医院
qing-shi-wei-sheng-yuan 青石卫生院
qing-shui-he-xian-yi-yuan 清水河县医院
qing-shui-xian-ren-min-yi-yuan 清水县人民医院
qing-shui-yi-yuan 清水医院
qing-tang-yi-yuan 清塘医院
qing-tian-tong-ji-yi-xue-men-zhen-bu 青田同济医学门诊部
qing-tian-xian-di-er-ren-min-yi-yuan 青田县第二人民医院
qing-tian-xian-ren-min-yi-yuan 青田县人民医院
qing-tian-xian-zhong-yi-yuan 青田县中医院
qing-tong-xia-shi-ren-min-yi-yuan 青铜峡市人民医院
qing-tong-xia-shi-xian-dai-sheng-zhi-yi-yuan 青铜峡市现代生殖医院
qing-xi-yi-yuan 清溪医院
qing-xian-chong-xian-yi-yuan 青县崇仙医院
qing-xian-ren-min-yi-yuan 青县人民医院
qing-xian-zhong-yi-yuan 青县中医院
qing-xu-xian-ren-min-yi-yuan 清徐县人民医院
qing-ya-tang 清雅堂
qing-yan-wei-sheng-yuan 青岩卫生院
qing-yang-bo-ai-yi-yuan 青阳博爱医院
qing-yang-gong-zhong-yi-zhen-suo 青羊宫中医诊所
qing-yang-kang-ping-yi-yuan 青阳康平医院
qing-yang-qu-di-er-ren-min-yi-yuan 青羊区第二人民医院
qing-yang-qu-di-jiu-ren-min-yi-yuan 青羊区第九人民医院
qing-yang-qu-di-san-ren-min-yi-yuan 青羊区第三人民医院
qing-yang-qu-di-wu-ren-min-yi-yuan 青羊区第五人民医院
qing-yang-qu-fu-you-bao-jian-yuan 青羊区妇幼保健院
qing-yang-qu-ren-min-yi-yuan 青羊区人民医院
qing-yang-qu-zhong-yi-yuan 青羊区中医院
qing-yang-ren-min-yi-yuan 青阳人民医院
qing-yang-shi-fu-you-bao-jian-yuan 庆阳市妇幼保健院
qing-yang-shi-ren-min-yi-yuan 庆阳市人民医院
qing-yang-shi-zhong-yi-yi-yuan 庆阳市中医医院
qing-yang-wei-sheng-yuan 青阳卫生院
qing-yang-xian-yi-long-kang-fu-yi-yuan 青阳县义龙康复医院
qing-yang-xian-yi-yuan 青阳县医院
qing-yang-yi-yuan 青阳医院
qing-yang-zhong-yi-yuan 青阳中医院
qing-yuan-hua-kang-mi-niao-zhuan-ke-yi-yuan 清远华康泌尿专科医院
qing-yuan-she-qu-wei-sheng-fu-wu-zhan 青园社区卫生服务站
qing-yuan-she-qu-wei-sheng-fu-wu-zhong-xin 清源社区卫生服务中心
qing-yuan-shi-yi-yuan 清远市医院
qing-yuan-shi-zhong-yi-yuan 清远市中医院
qing-yuan-xian-ren-min-yi-yuan 庆元县人民医院
qing-yuan-xian-zhong-yi-yuan 庆元县中医院
qing-yuan-xin-feng-cheng-yi-yuan 清远新凤城医院
qing-yuan-yi-yuan 庆元医院
qing-yun-dian-yi-yuan 青云店医院
qing-yun-pu-yi-yuan 青云谱医院
qing-yun-xian-ren-min-yi-yuan 庆云县人民医院
qing-yun-yi-yuan 青云医院
qing-zhen-gu-shang-zhuan-ke-yi-yuan 清镇骨伤专科医院
qing-zhen-shi-di-er-ren-min-yi-yuan 清镇市第二人民医院
qing-zhen-shi-fu-you-bao-jian-yuan 清镇市妇幼保健院
qing-zhen-shi-ren-min-yi-yuan 清镇市人民医院
qing-zhen-shi-zhong-yi-yuan 清镇市中医院
qing-zhou-kai-fa-qu-yi-yuan 青州开发区医院
qing-zhou-shi-fu-you-bao-jian-yuan 青州市妇幼保健院
qing-zhou-shi-ren-min-yi-yuan 青州市人民医院
qing-zhou-shi-zhong-yi-yuan 青州市中医院
qing-zhou-yan-ke-yi-yuan 青州眼科医院
qiong-hai-fu-kang-yi-yuan 琼海复康医院
qiong-hai-shi-fu-you-bao-jian-yuan 琼海市妇幼保健院
qiong-hai-shi-zhong-yi-yuan 琼海市中医院
qiong-lai-bo-ai-yi-yuan 邛崃博爱医院
qiong-lai-shi-fu-you-bao-jian-yuan 邛崃市妇幼保健院
qiong-lai-shi-zhong-yi-yuan 邛崃市中医院
qiong-shan-fu-chan-ke-yi-yuan 琼山妇产科医院
qiong-zhong-xian-ren-min-yi-yuan 琼中县人民医院
qiu-bei-xian-ren-min-yi-yuan 丘北县人民医院
qiu-chang-yi-yuan 秋长医院
qiu-ci-yi-yuan 龟兹医院
qiu-hua-ming-zhong-yi-zhen-suo 邱华明中医诊所
qiu-jiang-lao-nian-hu-li-yuan 虬江老年护理院
qiu-shi-yi-yuan 秋实医院
qiu-xian-zhong-xin-yi-yuan 邱县中心医院
qiu-xian-zhong-yi-yuan 邱县中医院
qu-di-yi-ren-min-yi-yuan 区第一人民医院
qu-fu-bai-dian-feng-yin-xie-bing-yi-yuan 曲阜白癜风银屑病医院
qu-fu-hong-xing-yi-yuan 曲阜红星医院
qu-fu-shi-di-er-ren-min-yi-yuan 曲阜市第二人民医院
qu-fu-shi-ren-min-yi-yuan 曲阜市人民医院
qu-fu-shi-zhong-yi-yuan 曲阜市中医院
qu-gong-ren-yi-yuan 区工人医院
qu-hong-shi-zi-hui-yi-yuan 区红十字会医院
qu-jiang-xian-ren-min-yi-yuan 曲江县人民医院
qu-jiang-yi-yuan 曲江医院
qu-jing-nan-ke-yi-yuan 曲靖男科医院
qu-jing-nv-zi-yi-yuan 曲靖女子医院
qu-jing-shi-yan-ke-yi-yuan 曲靖市眼科医院
qu-kou-yi-yuan 渠口医院
qu-ren-min-yi-yuan 区人民医院
qu-tang-zhong-xin-wei-sheng-yuan 曲塘中心卫生院
qu-wo-dong-fang-yi-yuan 曲沃东方医院
qu-wo-xian-ren-min-yi-yuan 曲沃县人民医院
qu-xian-zhong-yi-yuan 渠县中医院
qu-yang-di-duan-yi-yuan 曲阳地段医院
qu-yang-xian-ren-min-yi-yuan 曲阳县人民医院
qu-yang-yi-yuan 曲阳医院
qu-yuan-ren-min-yi-yuan 屈原人民医院
qu-zhi-ye-bing-yi-yuan 区职业病医院
qu-zhong-yi-yuan 区中医院
qu-zhou-ma-li-ya-yi-yuan 衢州玛莉亚医院
qu-zhou-shi-min-kang-yi-yuan 衢州市民康医院
qu-zhou-shi-yi-yuan 衢州市医院
qu-zhou-shi-yi-yuan-qu-zhou-zhong-xin-yi-yuan 衢州市医院衢州中心医院
qu-zhou-xian-yi-yuan 曲周县医院
qu-zhou-xian-zhong-yi-yuan 曲周县中医院
quan-an-she-qu-wei-sheng-fu-wu-zhong-xin 全安社区卫生服务中心
quan-cheng-yi-yuan 泉城医院
quan-gang-yi-yuan 泉港医院
quan-hai-yi-yuan 泉海医院
quan-hao-kou-qiang 全好口腔
quan-jiao-xian-yi-yuan 全椒县医院
quan-ke-men-zhen 全科门诊
quan-ke-yi-liao-men-zhen 全科医疗门诊
quan-nan-xian-zhong-yi-yuan 全南县中医院
quan-shan-kou-qiang 泉山口腔
quan-shan-yi-yuan 泉山医院
quan-sheng-yi-yuan 全胜医院
quan-shui-di-yi-yuan 泉水地医院
quan-shun-guo-yi-tang 泉舜国医堂
quan-tang-zhen-wei-sheng-yuan 全塘镇卫生院
quan-ying-kou-qiang-men-zhen 全英口腔门诊
quan-zhou-can-ji-ren-kang-fu-zhong-xin 泉州残疾人康复中心
quan-zhou-cheng-gong-yi-yuan 泉州成功医院
quan-zhou-feng-ze-hong-shi-zi-yi-yuan 泉州丰泽红十字医院
quan-zhou-guo-tai-yi-yuan 泉州国泰医院
quan-zhou-ren-min-yi-yuan 全州人民医院
quan-zhou-shi-guang-qian-yi-yuan 泉州市光前医院
quan-zhou-shi-ren-min-yi-yuan 泉州市人民医院
