;; -*- coding: utf-8 -*--
a-bei-er-bian-huan 阿贝尔变换
ni-wan-bei-tuo-pu 拟完备拓扑
ni-wei-fen-fang-cheng 拟微分方程
ni-wei-fen-suan-zi 拟微分算子
ni-wen-ti 逆问题
ni-xi-tong 逆系统
ni-xian-xing-fang-cheng 拟线性方程
ni-xian-xing-hua 拟线性化
ni-xian-xing-pao-wu 拟线性抛物
ni-xian-xing-pian-wei-fen-fang-cheng 拟线性偏微分方程
ni-xian-xing-shuang-qu 拟线性双曲
ni-xian-xing-tuo-yuan 拟线性椭圆
ni-xian-xing-zi-kong-xi-tong 拟线性自控系统
ni-xiang 逆象
ni-xiang-ji-xian 逆向极限
ni-xiang-liang-die-dai 逆向量迭代
ni-xiang-si-xing 逆相似性
ni-xiang-xi 逆向系
ni-xing-ji 拟星集
ni-xing-shi 逆形式
ni-xing-xing-yu 拟星形域
ni-xu 拟序
ni-xu-guan-xi 拟序关系
ni-xu-ji 拟序集
ni-xu-xing 逆序型
ni-xuan-zhuan 拟旋转
ni-xuan-zhuan-qun 拟旋转群
ni-yi-zhi-shou-lian 拟一致收敛
ni-ying-she 逆映射
ni-you-jie-han-shu 拟有界函数
ni-you-xiang-ji 拟有向集
ni-you-xiang-ni-xu 逆有向拟序
ni-yu-ge 逆余割
ni-yu-qie 逆余切
ni-yu-xian 逆余弦
ni-yuan 逆元
ni-yuan-zhou 拟圆周
ni-yun-suan 逆运算
ni-zhen 逆阵
ni-zhen 拟阵
ni-zhen-jiao 拟阵交
ni-zheng-chang-tai 拟正常态
ni-zheng-gui-xiang-liang 拟正规向量
ni-zheng-gui-zu 拟正规族
ni-zheng-xian 逆正弦
ni-zheng-ze-han-shu 拟正则函数
ni-zheng-ze-you-li-xiang 拟正则右理想
ni-zheng-ze-yuan 拟正则元
ni-zheng-ze-zuo-li-xiang 拟正则左理想
ni-zhi 逆值
ni-zhi-huan 逆置换
ni-zhou-qi 拟周期
ni-zhou-qi-han-shu 拟周期函数
ni-zhou-qi-ji 拟周期集
ni-zhou-qi-jie 拟周期解
ni-zi-cu 拟子簇
ni-zi-fan-ba-na-he-kong-jian 拟自反巴拿赫空间
ni-zi-ran-bian-huan 逆自然变换
ni-zi-tong-gou 逆自同构
ni-zuo-biao 拟坐标
ni-zuo-lian-xu 拟左连续
nian-he-ying-she 粘合映射
nian-shou-ru-lv 年收入率
nian-xing 粘性
nian-xing-xi-shu 粘性系数
nian-xing-xiao-shi-fa 粘性消失法
nian-zhe-kong-jian 粘着空间
nie-mi-ci-suan-zi 涅米茨算子
ning-ju 凝聚
ning-ju-ceng 凝聚层
ning-ju-dian 凝聚点
ning-ju-dian-ji 凝聚点集
ning-ju-huan 凝聚环
ning-ju-ji 凝聚集
ning-ju-mo 凝聚摸
ning-ju-tiao-jian 凝聚条件
ning-ju-tuo-pu 凝聚拓扑
ning-ju-ying-she 凝聚映射
ning-ju-yuan-li 凝聚原理
ning-shu 拧数
niu-chu-zi 扭除子
niu-dun 牛顿
niu-dun-cha-zhi-duo-xiang-shi 牛顿插值多项式
niu-dun-cha-zhi-gong-shi 牛顿插值公式
niu-dun-duo-bian-xing 牛顿多边形
niu-dun-fa 牛顿法
niu-dun-gong-shi 牛顿公式
niu-dun-he 牛顿核
niu-dun-heng-deng-shi 牛顿恒等式
niu-dun-ji-shu 牛顿级数
niu-dun-lai-bu-ni-ci-ding-li 牛顿莱布尼茨定理
niu-dun-lai-bu-ni-ci-gong-shi 牛顿莱布尼茨公式
niu-dun-li-xue 牛顿力学
niu-dun-wei-shi 牛顿位势
niu-dun-xie-lv 牛顿斜率
niu-dun-zhe-xian 牛顿折线
niu-jie 纽结
niu-jie-li-lun 纽结理论
niu-jie-qun 纽结群
niu-qu-ceng 扭曲层
niu-zhuan-ding-li 扭转定理
niu-zhuan-ying-she 扭转映射
nong-du 浓度
nong-ping 弄平
nuo-te-dui-xiang 诺特对象
nuo-te-fan-chou 诺特范畴
nuo-te-gai-xing 诺特概形
nuo-te-huan 诺特环
nuo-te-mo 诺特模
nuo-yi-man-bian-jie-tiao-jian 诺伊曼边界条件
nuo-yi-man-fa 诺伊曼法
nuo-yi-man-ji-shu 诺伊曼级数
nuo-yi-man-wen-ti 诺伊曼问题
nv-sheng-wen-ti 女生问题
ou-han-shu 偶函数
ou-he 耦合
ou-he-xi-tong 耦合系统
ou-ji-li-de 欧几里德
ou-ji-li-de-du-liang 欧几里得度量
ou-ji-li-de-fan-shu 欧几里得范数
ou-ji-li-de-ji-he 欧几里得几何
ou-ji-li-de-ji-he 欧几里德几何
ou-ji-li-de-ju-li 欧几里得距离
ou-ji-li-de-kong-jian 欧几里得空间
ou-ji-li-de-ping-mian 欧几里得平面
ou-ji-li-de-ping-xing-gong-she 欧几里得平行公设
ou-ji-li-de-suan-fa 欧几里得算法
ou-ji-li-de-suan-fa 欧几里德算法
ou-ji-li-de-xiang-liang-kong-jian 欧几里得向量空间
ou-ji-li-de-yin-li 欧几里得引理
ou-ji-li-de-zheng-huan 欧几里得整环
ou-ke-li-fu-de-dai-shu 偶克利福德代数
ou-la-bian-huan 欧拉变换
ou-la-chang-shu 欧拉常数
ou-la-ding-li 欧拉定理
ou-la-duo-mian-ti-ding-li 欧拉多面体定理
ou-la-duo-xiang-shi 欧拉多项式
ou-la-fa 欧拉法
ou-la-gong-shi 欧拉公式
ou-la-jiao 欧拉角
ou-la-lei 欧拉类
ou-la-pan-bie-zhun-ze 欧拉判别准则
ou-la-pang-jia-lai-gong-shi 欧拉庞加莱公式
ou-la-shi-xing-shu 欧拉示性数
ou-la-shu 欧拉数
ou-la-tu 欧拉图
ou-la-wei-fen-fang-cheng 欧拉微分方程
ou-la-yun-dong-xue-fang-cheng 欧拉运动学方程
ou-la-zhe-xian 欧拉折线
ou-la-zhe-xian-fa 欧拉折线法
ou-la-zong-he-gong-shi 欧拉总和公式
ou-ran-fu-he 偶然符合
ou-ran-shi-gu 偶然事故
ou-ran-wu-cha 偶然误差
ou-ran-xing 偶然性
ou-shi-bian-huan 欧氏变换
ou-shi-bian-huan-qun 欧氏变换群
ou-shi-bu-bian-liang 欧氏不变量
ou-shi-chu-fa 欧氏除法
ou-shi-ji-he 欧氏几何
ou-shi-kong-jian 欧氏空间
ou-shi-zheng-huan 欧氏整环
ou-shu 偶数
ou-shu-tong-wei 偶数同位
ou-shu-xing 偶数性
ou-tu 偶图
ou-zhi-huan 偶置换
pa-de-bi-jin 帕德逼近
pa-de-biao 帕德表
pa-de-fang-cheng 帕德方程
pa-lei-tuo-jie 帕雷托解
pa-lei-tuo-zui-you-xing 帕雷托最优性
pa-sai-wa-er-deng-shi 帕塞瓦尔等式
pa-shan-fa 爬山法
pa-si-ka-fen-bu 帕斯卡分布
pa-si-ka-gou-tu 帕斯卡构图
pa-si-ka-san-jiao-xing 帕斯卡三角形
pa-si-ka-xian 帕斯卡线
pai-dui 排队
pai-dui-gui-ze 排队规则
pai-dui-guo-cheng 排队过程
pai-dui-kong-jian 排队空间
pai-dui-lun 排队论
pai-dui-mo-xing 排队模型
pai-dui-shi-jian 排队时间
pai-dui-wang-luo 排队网络
pai-dui-wen-ti 排队问题
pai-huai-ji 徘徊集
pai-lie 排列
pai-ta-guo-cheng 排它过程
pai-xu 排序
pai-xu-he-shi-jian-biao-li-lun 排序和时间表理论
pai-xu-wen-ti 排序问题
pai-zhong-lv 排中律
pan-bie-fen-xi 判别分析
pan-bie-han-shu 判别函数
pan-bie-shi 判别式
pan-bie-shi-han-shu 判别式函数
pan-bie-zi-cu 判别子簇
pan-ding 判定
pan-ding-ding-li 判定定理
pan-ding-guo-cheng 判定过程
pan-ding-han-shu 判定函数
pan-ding-kong-jian 判定空间
pan-ding-wen-ti 判定问题
pan-duan 判断
pan-duan-lun 判断论
pan-jue-guo-cheng 判决过程
pan-le-wei-li-lun 潘勒韦理论
pang-de-li-ya-jin-te-zheng 庞德里雅金特正
pang-jia-cai-ju-zhen 庞加菜矩阵
pang-jia-lai 庞加莱
pang-jia-lai-bian-huan 庞加莱变换
pang-jia-lai-bu-deng-shi 庞加莱不等式
pang-jia-lai-cai-ce 庞加莱猜测
pang-jia-lai-cai-xiang 庞加莱猜想
pang-jia-lai-chu-zi 庞加莱除子
pang-jia-lai-du-liang 庞加莱度量
pang-jia-lai-dui-ou 庞加莱对偶
pang-jia-lai-gong-shi 庞加莱公式
pang-jia-lai-ji-shu 庞加莱级数
pang-jia-lai-lai-fu-xie-ci-dui-ou 庞加莱莱夫谢茨对偶
pang-jia-lai-liao 庞加莱廖
pang-jia-lai-mo-xing 庞加莱模型
pang-jia-lai-qun 庞加莱群
pang-jia-lai-yin-li 庞加莱引理
pang-jia-lai-ying-she 庞加莱映射
pang-qie 旁切
pang-qie-yuan 旁切圆
pang-te-li-ya-jin 庞特里亚金
pang-te-li-ya-jin-ji 庞特里亚金积
pang-te-li-ya-jin-ji-da-yuan-li 庞特里雅金极大原理
pang-te-li-ya-jin-kong-jian 庞特里亚金空间
pang-te-li-ya-jin-lei 庞特里亚金类
pang-te-li-ya-jin-shu 庞特里亚金数
pang-xin 旁心
pang-zhi-fu 旁支付
pang-zhou-guang-xian 旁轴光线
pao-li-zhen 泡利阵
pao-wu 抛物
pao-wu-dian 抛物点
pao-wu-hui-gui 抛物回归
pao-wu-jian-dian 抛物尖点
pao-wu-luo-xian 抛物螺线
pao-wu-mian 抛物面
pao-wu-mian-zuo-biao 抛物面坐标
pao-wu-qu-xian 抛物曲线
pao-wu-tu-xing 抛物图形
pao-wu-xian 抛物线
pao-wu-xian-duan 抛物线段
pao-wu-xian-fa 抛物线法
pao-wu-xian-gui-dao 抛物线轨道
pao-wu-xian-zuo-biao 抛物线坐标
pao-wu-xing 抛物型
pao-wu-xing-pian-wei-fen-fang-cheng 抛物型偏微分方程
pao-wu-xing-wei-fen-fang-cheng 抛物型微分方程
pao-wu-ye-xing-xian 抛物叶形线
pao-wu-zhu-mian 抛物柱面
pao-wu-zhu-mian-han-shu 抛物柱面函数
pao-wu-zhu-mian-zuo-biao 抛物柱面坐标
pao-wu-zi-qun 抛物子群
pei-bian-huan 配边环
pei-bian-lei 配边类
pei-bian-liao 配边廖
pei-bian-qun 配边群
pei-dui 配对
pei-dui-gong-shi 配对公式
pei-dui-wen-ti 配对问题
pei-e-chou-yang 配额抽样
pei-fang 配方
pei-ji 配极
pei-ji 陪集
pei-ji-a-bei-er-cu 配极阿贝耳簇
pei-ji-cu 配极簇
pei-ji-dai-biao-xi 陪集代表系
pei-ji-ke-zhan-qu-mian 配极可展曲面
pei-ji-lun 配极论
pei-ji-ma 陪集码
pei-ji-qu-xian 配极曲线
pei-ji-si-mian-ti 配极四面体
pei-ji-ti 配极体
pei-ji-tou 陪集头
pei-lian-ji-zhi 配连极值
pei-long-fa 佩龙法
pei-ya-nuo-cun-zai-ding-li 佩亚诺存在定理
pei-ya-nuo-gong-li 佩亚诺公理
pei-ya-nuo-wu-cha-biao-shi 佩亚诺误差表示
pei-zhi 配置
pei-zhi-dian 配置点
pei-zhi-fa 配置法
pei-zhi-wen-ti 配置问题
peng-bi-han-shu 碰壁函数
peng-peng-kong-zhi 砰砰控制
peng-zhang 膨胀
peng-zhuang-gai-lv-fang-fa 碰撞概率方法
peng-zhuang-ju-zhen 碰撞矩阵
pi-er-si-fen-jie 皮尔斯分解
pi-er-xun-fen-bu 皮尔逊分布
pi-er-xun-xing-fen-bu 皮尔逊型分布
pi-ka-cu 皮卡簇
pi-ka-gai-xing 皮卡概形
pi-ka-ji-fen 皮卡积分
pi-ka-li-wai-zhi 皮卡例外值
pi-ka-qun 皮卡群
pi-ka-shu 皮卡数
pi-ka-wen-ti 皮卡问题
pi-ka-xu-lie 皮卡序列
pi-liang 批量
pi-pei 匹配
pi-pei-ding-li 匹配定理
pi-se-ji-shu 皮瑟级数
pi-te-man-gu-ji 皮特曼估计
pi-zhui-qu-mian 劈锥曲面
pian-ai-jie 偏爱解
pian-ai-xu 偏爱序
pian-cha 偏差
pian-cha-fen-fang-cheng 偏差分方程
pian-cha-shang 偏差商
pian-dao-shu 偏导数
pian-du 偏度
pian-fang-cha 偏方差
pian-fen-mu 偏分母
pian-fen-zi 偏分子
pian-ge 偏格
pian-han-shu 偏函数
pian-hui-gui 偏回归
pian-hui-gui-xi-shu 偏回归系数
pian-li 偏离
pian-san-jiao-mian-ti 偏三角面体
pian-tai-fen-bu 偏态分布
pian-wei-fen 偏微分
pian-wei-fen-bu-deng-shi 偏微分不等式
pian-wei-fen-fa 偏微分法
pian-wei-fen-fang-cheng 偏微分方程
pian-wei-fen-fang-cheng-shu-zhi-jie 偏微分方程数值解
pian-wei-fen-fang-cheng-zu 偏微分方程组
pian-wei-fen-suan-zi 偏微分算子
pian-wei-shang 偏微商
pian-xiang-guan 偏相关
pian-xiang-guan-xi-shu 偏相关系数
pian-xie-fang-cha 偏协方差
pian-xie-fen-bu 偏斜分布
pian-xie-xian 偏斜线
pian-xu 偏序
pian-xu-guan-xi 偏序关系
pian-xu-ji 偏序集
pian-yi 偏倚
piao-yi 漂移
pin-lv 频率
pin-lv-fen-bu 频率分布
pin-lv-han-shu 频率函数
pin-lv-qu-xian 频率曲线
pin-lv-tu 频率图
pin-lv-xiang-ying 频率响应
pin-shuo 频数
pin-shuo-duo-bian-xing 频数多边形
pin-wu-xiao-zu 拼五小组
pin-yu 频域
pin-yu-fen-xi 频域分析
ping-dian 平点
ping-fan 平凡
ping-fan-fu-zhi 平凡赋值
ping-fan-hua 平凡化
ping-fan-jie 平凡解
ping-fan-jue-dui-zhi 平凡绝对值
ping-fan-kuo-zhang 平凡扩张
ping-fan-niu-jie 平凡纽结
ping-fan-qi-ci-li-xiang 平凡齐次理想
ping-fan-tu 平凡图
ping-fan-xian-wei-cong 平凡纤维丛
ping-fan-xing 平凡性
ping-fan-xu 平凡序
ping-fan-zi-ji 平凡子集
ping-fan-zi-kong-jian 平凡子空间
ping-fan-zi-qun 平凡子群
ping-fang 平方
ping-fang-bi-jin 平方逼近
ping-fang-bian-cha-guo-cheng 平方变差过程
ping-fang-ce-du 平方测度
ping-fang-fan-bi-ding-lv 平方反比定律
ping-fang-gen 平方根
ping-fang-gen-bian-huan 平方根变换
ping-fang-gen-biao 平方根表
ping-fang-gen-fa 平方根法
ping-fang-he 平方和
ping-fang-ke-ji-han-shu 平方可积函数
ping-fang-ke-ji-yang 平方可积鞅
ping-fang-lie-lian 平方列联
ping-fang-pian-cha 平方偏差
ping-fang-ping-jun-shou-lian 平方平均收敛
ping-fang-shou-lian 平方收敛
ping-fang-shou-lian-su-lv 平方收敛速率
ping-fen 平分
ping-fen-dian 平分点
ping-fen-xian 平分线
ping-heng 平衡
ping-heng-bu-wan-quan-qu-zu-she-ji 平衡不完全区组设计
ping-heng-ce-du 平衡测度
ping-heng-chang-shu 平衡常数
ping-heng-chao-tu 平衡超图
ping-heng-dian 平衡点
ping-heng-fa 平衡法
ping-heng-fan-chou 平衡范畴
ping-heng-fang-cheng 平衡方程
ping-heng-fen-bu 平衡分布
ping-heng-han-zi 平衡函子
ping-heng-hua 平衡化
ping-heng-ji 平衡集
ping-heng-lin-yu 平衡邻域
ping-heng-mo 平衡模
ping-heng-qu-zu-she-ji 平衡区组设计
ping-heng-she-ji 平衡设计
ping-heng-tai 平衡态
ping-heng-tiao-jian 平衡条件
ping-heng-tu 平衡图
ping-heng-yang-ben 平衡样本
ping-heng-yuan-li 平衡原理
ping-heng-yun-shu-wen-ti 平衡运输问题
ping-heng-zhi-pai-wen-ti 平衡指派问题
ping-heng-zhuang-tai 平衡状态
ping-hua 平滑
ping-hua-qu-xian 平滑曲线
ping-jia-han-shu-fa 评价函数法
ping-jiao 平角
ping-jie-tou-leng-zhui-ti 平截头棱锥体
ping-jie-tou-pao-wu-mian-ti 平截头抛物面体
ping-jun 平均
ping-jun-bi-jin 平均逼近
ping-jun-bian-li-ding-li 平均遍历定理
ping-jun-cha 平均差
ping-jun-fa 平均法
ping-jun-fang-fa 平均方法
ping-jun-kong-jian 平均空间
ping-jun-mi-du 平均密度
ping-jun-pian-cha 平均偏差
ping-jun-qu-lv 平均曲率
ping-jun-shang 平均熵
ping-jun-shi-jian 平均时间
ping-jun-shou-lian 平均收敛
ping-jun-shou-lian-su-lv 平均收敛速率
ping-jun-shou-ming 平均寿命
ping-jun-shu 平均数
ping-jun-shu-zhi-shu 平均数指数
ping-jun-su-du 平均速度
ping-jun-suan-zi 平均算子
ping-jun-wei-shang 平均微商
ping-jun-wu-cha 平均误差
ping-jun-xing 平均型
ping-jun-yang-ben-liang 平均样本量
ping-jun-yang-ben-shu 平均样本数
ping-jun-zeng-zhang-su-du 平均增长速度
ping-jun-zhi 平均值
ping-jun-zhi-biao 平均指标
ping-jun-zhi-ding-li 平均值定理
ping-jun-zhi-fa 平均值法
ping-jun-zhi-fu 平均支付
ping-jun-zong-zuo-biao 平均纵坐标
ping-mian 平面
ping-mian-ba 平面把
ping-mian-dian 平面点
ping-mian-dui-chen 平面对称
ping-mian-er-mian-jiao 平面二面角
ping-mian-gou-xing 平面构形
ping-mian-ji-he 平面几何
ping-mian-jiao 平面角
ping-mian-ke-zhan-qu-mian 平面可展曲面
ping-mian-qian-ru 平面嵌入
ping-mian-qiu-xing-tu 平面球形图
ping-mian-qu-xian 平面曲线
ping-mian-san-jiao-xing 平面三角形
ping-mian-san-jiao-xue 平面三角学
ping-mian-she-ji 平面设计
ping-mian-she-ying-ji-he 平面射影几何
ping-mian-shu 平面束
ping-mian-tu 平面图
ping-mian-tu-xing 平面图形
ping-mian-xing 平面性
ping-mian-yu 平面域
ping-mian-yu-kong-jian-zai-xian 平面与空间在线
ping-mian-zhi-jiao-zuo-biao-xi 平面直角坐标系
ping-mian-zu 平面族
ping-mian-zuo-biao 平面坐标
ping-qu-mian 平曲面
ping-si-ke-fen-ge 平斯克分割
ping-tan-dian 平坦点
ping-tan-kong-jian 平坦空间
ping-tan-mo 平坦模
ping-tan-she 平坦射
ping-tan-tai-she 平坦态射
ping-tan-xing 平坦性
ping-wen-ce-lue 平稳策略
ping-wen-dian 平稳点
ping-wen-dian-guo-cheng 平稳点过程
ping-wen-fen-bu 平稳分布
ping-wen-guo-cheng 平稳过程
ping-wen-guo-cheng-pu-fen-jie 平稳过程谱分解
ping-wen-han-shu 平稳函数
ping-wen-ji-he 平稳集合
ping-wen-mi-qie-mian 平稳密切面
ping-wen-qu-xian 平稳曲线
ping-wen-shi-jian-xu-lie 平稳时间序列
ping-wen-sui-ji-guo-cheng 平稳随机过程
ping-wen-wen-ti 平稳问题
ping-wen-xin-dao 平稳信道
ping-wen-xin-yuan 平稳信源
ping-wen-xing-tai 平稳性态
ping-wen-zhi 平稳值
ping-xing 平行
ping-xing-dai 平行带
ping-xing-feng-xi 平行缝隙
ping-xing-gong-li 平行公理
ping-xing-jiao 平行角
ping-xing-lei 平行类
ping-xing-leng 平行棱
ping-xing-lie-wen-yu 平行裂纹域
ping-xing-liu-mian-ti 平行六面体
ping-xing-qie-xian-fa 平行切线法
ping-xing-qu-mian 平行曲面
ping-xing-qu-xian 平行曲线
ping-xing-she-ying 平行射影
ping-xing-si-bian-xing 平行四边形
ping-xing-si-bian-xing-ding-lv 平行四边形定律
ping-xing-si-bian-xing-ding-ze 平行四边形定则
ping-xing-si-bian-xing-gong-li 平行四边形公理
ping-xing-si-bian-xing-heng-deng-shi 平行四边形恒等式
ping-xing-ti 平行体
ping-xing-wei-yi 平行位移
ping-xing-xian 平行线
ping-xing-xian-shu 平行线束
ping-xing-yi-dong 平行移动
ping-xing-yi-dong-qun 平行移动群
ping-xing-yuan 平行圆
ping-xing-zhi-chi 平行直尺
ping-xing-zi-kong-jian 平行子空间
ping-xing-zuo-biao 平行坐标
ping-yan 平延
ping-yi 平移
ping-yi-bu-bian 平移不变
ping-yi-bu-bian-du-liang 平移不变度量
ping-yi-ding-li 平移定理
ping-yi-dui-chen 平移对称
ping-yi-qu-mian 平移曲面
ping-yi-qu-xian 平移曲线
ping-yi-qun 平移群
ping-yi-shu 平移数
ping-yi-suan-zi 平移算子
po-jin-han-shu 迫近函数
po-yi 破译
pou-fen 剖分
pou-fen-kong-jian 剖分空间
pou-fen-lian 剖分链
pou-xian-wen-ti 剖线问题
pu-ban-jing 谱半径
pu-bian-cu 普遍簇
pu-bian-hua 普遍化
pu-bian-ji-da-shuang-ce-li-xiang 普遍极大双侧理想
pu-bian-ji-da-zuo-li-xiang 普遍极大左理想
pu-bian-ji-xiao-you-li-xiang 普遍极小右理想
pu-bian-ke-ce 普遍可测
pu-biao-shi 谱表示
pu-bu-bian-liang 谱不变量
pu-ce-du 谱测度
pu-cha 普查
pu-chuang 谱窗
pu-ding-li 谱定理
pu-fa-fu-fang-cheng 普法夫方程
pu-fa-fu-xing 普法夫型
pu-fang-fa 谱方法
pu-fei-si-te-er-ci-xing 普菲斯特二次型
pu-fen-bu 谱分布
pu-fen-bu-han-shu 谱分布函数
pu-fen-jie 谱分解
pu-fen-jie-ding-li 谱分解定理
pu-fen-xi 谱分析
pu-gu-ji 谱估计
pu-han-shu 谱函数
pu-han-zi 谱函子
pu-ji 谱集
pu-ji-fen 谱积分
pu-ji-he 谱几何
pu-kong-jian 谱空间
pu-la-tuo-wen-ti 普拉托问题
pu-lang-te-ji-fen-wei-fen-fang-cheng 普朗特积分微分方程
pu-lv-fu-zheng-huan 普吕弗整环
pu-lv-ke-gong-shi 普吕克公式
pu-lv-ke-zuo-biao 普吕克坐标
pu-mi-du-han-shu 谱密度函数
pu-pei-zheng-he-xu-lie 普佩正合序列
pu-rao-dong 谱扰动
pu-su-ji-he-lun 朴素集合论
pu-suan-zi 谱算子
pu-tiao-jian 谱条件
pu-tong-dian 普通点
pu-tong-diao 谱同调
pu-tong-fen-shu 普通分数
pu-tong-xiang 普通项
pu-xi-fen-lei 谱系分类
pu-xian 谱线
pu-xian-mi-du 谱线密度
pu-xing-zhi 谱性质
pu-xu-lie 谱序列
pu-ying-she-ding-li 谱映射定理
pu-zhong-du 谱重度
pu-zi-kong-jian 谱子空间
pu-zong-he 谱综合
qi-bian-xing 七边形
qi-bu-suan-fa 起步算法
qi-ci-bian-fen-wen-ti 齐次变分问题
qi-ci-bian-jie-tiao-jian 齐次边界条件
qi-ci-bu-fen 齐次部分
qi-ci-cu 齐次簇
qi-ci-di-ka-er-zuo-biao 齐次笛卡儿坐标
qi-ci-duo-xiang-shi 齐次多项式
qi-ci-fang-cheng 齐次方程
qi-ci-han-shu 齐次函数
qi-ci-ji-fen-fang-cheng 齐次积分方程
qi-ci-li-xiang 齐次理想
qi-ci-ma-er-ke-fu-guo-cheng 齐次马尔可夫过程
qi-ci-ma-er-ke-fu-lian 齐次马尔可夫链
qi-ci-mo-xing 齐次模型
qi-ci-suan-zi 齐次算子
qi-ci-tu 齐次图
qi-ci-wei-fen-fang-cheng 齐次微分方程
qi-ci-wei-fen-fang-cheng-zu 齐次微分方程组
qi-ci-xian-xing-bian-huan 齐次线性变换
qi-ci-xian-xing-bian-zhi-wen-ti 齐次线性边值问题
qi-ci-xian-xing-fang-cheng-zu 齐次线性方程组
qi-ci-xian-xing-wei-fen-fang-cheng 齐次线性微分方程
qi-ci-xian-xing-wei-fen-xi-tong 齐次线性微分系统
qi-ci-yuan-su 齐次元素
qi-ci-zuo-biao 齐次坐标
qi-ci-zuo-biao-huan 齐次坐标环
qi-dian 脐点
qi-dian 奇点
qi-dian 歧点
qi-dian-li-lun 奇点理论
qi-dui-ying 奇对应
qi-er-ci-qu-xian 奇二次曲线
qi-fa-shi-fang-fa 启发式方法
qi-fa-shi-gui-hua 启发式规划
qi-guai-xi-yin-zi 奇怪吸引子
qi-gui-ji 奇轨迹
qi-jiao-shi-fa 起脚石法
qi-jie 奇解
qi-liu-xing 旗流形
qi-mian-ti 七面体
qi-qu-mian 奇曲面
qi-shi 齐式
qi-tuan-bian-xing 气团变性
qi-wang 期望
qi-wang-zeng-yi 期望增益
qi-wang-zhi 期望值
qi-wang-zhi-xiang-liang 期望值向量
qi-wei-kong-jian 奇维空间
qi-wei-ta-lian-luo 奇维塔联络
qi-xing 齐性
qi-xing-chuan-bo 奇性传播
qi-xing-gong-shi 齐性公式
qi-xing-guan-xi 齐性关系
qi-xing-jian-yan 齐性检验
qi-xing-kong-jian 齐性空间
qi-yi-bao-qiang 奇异胞腔
qi-yi-bian-fen-wen-ti 奇异变分问题
qi-yi-bian-huan 奇异变换
qi-yi-bian-jie 奇异边界
qi-yi-bian-jie-dian 奇异边界点
qi-yi-bu-fen 奇异部分
qi-yi-dan-xing 奇异单形
qi-yi-er-ci-qu-mian 奇异二次曲面
qi-yi-er-yuan-zheng-tai-fen-bu 奇异二元正态分布
qi-yi-fu-xing 奇异复形
qi-yi-han-shu 奇异函数
qi-yi-huan-mian 奇异环面
qi-yi-ji-fen 奇异积分
qi-yi-ji-fen-fang-cheng 奇异积分方程
qi-yi-ji-fen-yuan-su 奇异积分元素
qi-yi-ji-shu 奇异基数
qi-yi-ji-shu 奇异级数
qi-yi-jie 奇异解
qi-yi-kong-jian 奇异空间
qi-yi-kong-zhi 奇异控制
qi-yi-lian 奇异链
qi-yi-lian-fu-xing 奇异链复形
qi-yi-ping-mian 奇异平面
qi-yi-rao-dong 奇异扰动
qi-yi-shang-tong-dao 奇异上同岛
qi-yi-shang-tong-tiao-qun 奇异上同调群
qi-yi-she-dong-xi-tong 奇异摄动系统
qi-yi-she-ying-bian-huan 奇异射影变换
qi-yi-suan-zi 奇异算子
qi-yi-tong-dian 奇异同掂
qi-yi-tong-diao 奇异同调
qi-yi-tong-diao-qun 奇异同调群
qi-yi-tu 奇异图
qi-yi-tuo-yuan-han-shu 奇异椭圆函数
qi-yi-xia-tong-tiao 奇异下同调
qi-yi-xian-su 奇异线素
qi-yi-xian-xing-bian-huan 奇异线性变换
qi-yi-xian-xing-suan-zi 奇异线性算子
qi-yi-xian-xing-xi-tong 奇异线性系统
qi-yi-xiang-liang 奇异向量
qi-yi-xu-shu 奇异序数
qi-yi-ying-she 奇异映射
qi-yi-zhi 奇异值
qi-yi-zhi-fen-jie 奇异值分解
qi-yi-zi-kong-jian 奇异子空间
qi-yi-zi-tong-gou 奇异自同构
qi-yuan-su 奇元素
qi-zhi-huan 奇置换
qi-zhuang 起状
qi-zi-mu 奇子模
qia-dang-wei-fen 恰当微分
qia-dang-wei-fen-fang-cheng 恰当微分方程
qia-pu-lei-jin-fang-cheng 恰普雷金方程
qian-dao 前导
qian-dao-zi 前导子
qian-dao-zi-fen-qi-ding-li 前导子分歧定理
qian-ding-pian-wei-fen-fang-cheng-zu 欠定偏微分方程组
qian-ding-zu 欠定组
qian-dui-ou 前对偶
qian-gai-xing 前概型
qian-jian 前件
qian-jin-wei-shi 前进位势
qian-kui-kong-zhi 前馈控制
qian-qian-shu 前钳数
qian-qu 前趋
qian-ru 嵌入
qian-ru-ding-li 嵌入定理
qian-ru-fa 嵌入法
qian-ru-ma-er-ke-fu-lian 嵌入马尔可夫链
qian-ru-su-li-xiang 嵌入素理想
qian-ru-suan-zi 嵌入算子
qian-ru-yuan-li 嵌入原理
qian-shu-ci 前束词
qian-shu-fan-shi 前束范式
qian-shu-shi 前束式
qian-ti 前提
qian-wu-qiong 潜无穷
qian-xiang 前项
qian-xiang-cha-fen 前向差分
qian-xiang-cha-fen-suan-zi 前向差分算子
qian-xiang-cha-shang 前向差商
qian-xiang-jie-fa 前向解法
qian-xiang-sou-suo 前向搜索
qian-zai 潜在
qian-zhi-qu 前置区
qian-zhui-ma 前缀码
qiang-bi-jin 强逼近
qiang-bu-bian-yuan-li 强不变原理
qiang-bu-ke-da-ji-shu 强不可达基数
