;; -*- coding: utf-8 -*--
a-di-ma 阿蒂玛
qi-mo-chan-pin-zhi-zao-jia-gong-she-bei 汽摩产品制造加工设备
qi-nang 气囊
qi-nang-kong-zhi-dan-yuan 气囊控制单元
qi-nang-xian-shu 气囊线束
qi-pei 汽配
qi-pei-gong-si 汽配公司
qi-rui 奇瑞
qi-rui-jun-wei 奇瑞君威
qi-xiu-qi-bao-chan-pin 汽修汽保产品
qi-ya 起亚
qi-ya-bao-jing-qi 气压报警器
qi-ya-chuan-gan-qi 气压传感器
qi-ya-jian-zhen-qi 气压减震器
qi-ya-tan-huang 气压弹簧
qi-ya-xin-hao-kai-guan 气压信号开关
qi-you-beng 汽油泵
qi-you-beng-mi-feng-quan 汽油泵密封圈
qi-you-lv 汽油滤
qi-you-xiang 汽油箱
qi-you-ye-wei-chuan-gan-qi 汽油液位传感器
qi-zhi-dong-fa 气制动阀
qi-zhong-dian-ci-fa 起重电磁阀
qian-bao 前保
qian-bao-gang 前保杠
qian-bao-xian-gang 前保险杠
qian-bao-xian-gang-gu-jia 前保险杠骨架
qian-bao-xian-gang-mian-ban 前保险杠面板
qian-bao-xian-gang-zhi-jia 前保险杠支架
qian-cha-hu-zhao 前叉护罩
qian-cha-suo 前叉锁
qian-da-deng 前大灯
qian-da-deng-zong-cheng 前大灯总成
qian-dang-feng-ban 前挡风板
qian-dang-feng-bo-li 前挡风玻璃
qian-fen-beng-hui-wei-huang 前分泵回位簧
qian-fen-shi-fang-chen-tao 前分室防尘套
qian-feng-dang 前风挡
qian-gang 前杠
qian-gang-ban 前钢板
qian-gang-ban-gai-ban 前钢板盖板
qian-gang-ban-hou-zhi-jia 前钢板后支架
qian-gang-ban-hua-ban 前钢板滑板
qian-gang-ban-qi-ma-luo-shuan 前钢板骑马螺栓
qian-gang-ban-qian-xiao 前钢板前销
qian-gang-ban-qian-zhi-jia 前钢板前支架
qian-gang-ban-tan-huang-jiao-kuai 前钢板弹簧胶块
qian-gang-ban-xiao 前钢板销
qian-gang-ban-xiao-chen-tao 前钢板销衬套
qian-gang-ban-zhong-xin-luo-si 前钢板中心螺丝
qian-gang-ban-zong-cheng 前钢板总成
qian-gang-dao-xiang-cao 前杠导向槽
qian-gang-fang-zhuang-tiao 前杠防撞条
qian-gu-sha 前鼓刹
qian-gu-sha 前毂刹
qian-ji-gai 前机盖
qian-jin-dang 前进挡
qian-lian-suo-gou 前脸锁钩
qian-lun 前轮
qian-lun-dai-zhi-dong-qi-zong-cheng 前轮带制动器总成
qian-lun-gu 前轮毂
qian-lun-qu-dong 前轮驱动
qian-lun-tai-luo-shuan 前轮胎螺栓
qian-ni-wa 前泥瓦
qian-pai-qi-qi-guan 前排气歧管
qian-pian 前片
qian-qiao 前桥
qian-qiao-jian-zhen-qi 前桥减震器
qian-qiao-jian-zhen-qi-jiao-dian 前桥减振器胶垫
qian-qiao-jian-zhen-qi-zong-cheng 前桥减震器总成
qian-sha-che-pian 前刹车片
qian-sha-che-xian 前刹车线
qian-si-hou-ba 前四后八
qian-si-hou-si 前四后四
qian-wei 前围
qian-wei-xia-hu-mian 前围下护面
qian-wu-deng 前雾灯
qian-xiao-yin-qi 前消音器
qian-xuan 前悬
qian-xuan-gua 前悬挂
qian-yi-ban 前翼板
qian-yi-ban-hou-duan 前翼板后段
qian-yi-ban-hou-duan-zhi-jia 前翼板后段支架
qian-yi-ban-qian-bian 前翼板嵌边
qian-yi-zi-ban 前翼子板
qian-yin-gou 牵引钩
qian-yin-li-kong-zhi-xi-tong 牵引力控制系统
qian-yin-qing-gai 前引擎盖
qian-you-feng-zuo-zu-he-ti 前油封座组合体
qian-zhao-deng 前照灯
qian-zhao-ke 前罩壳
qian-zhi-dian 前止点
qian-zhi-dian-jiao-dun 前止点胶墩
qian-zhi-dong-bi 前制动臂
qian-zhi-dong-bi-hui-wei-huang 前制动臂回位簧
qian-zhi-dong-fen-shi 前制动分室
qian-zhi-dong-gu 前制动鼓
qian-zhi-dong-pian 前制动片
qian-zhi-dong-ruan-guan 前制动软管
qian-zhi-dong-ti 前制动蹄
qian-zhi-dong-ti-zhi-xiao 前制动蹄支销
qian-zhi-dong-tu-lun-zhou 前制动凸轮轴
qian-zhi-fa-dong-ji 前置发动机
qian-zhi-fu-xiang-kai-guan 前置副箱开关
qian-zhi-yin-qing 前置引擎
qian-zhou 前轴
qian-zong-liang 前纵梁
qiao-ban-kai-guan 翘板开关
qie-huan-xi-ru-guan 切换吸入管
qin-chuan-fu-lai-er 秦川福莱尔
qing-ling 庆铃
qing-ling-ji-tuan 庆铃集团
qing-ling-pi-ka 庆铃皮卡
qing-ling-qi-che 庆铃汽车
qing-nian-qi-che 青年汽车
qing-nian-yun-que 青年云雀
qing-xing-che 轻型车
qing-yu-dang 晴雨挡
qiu-long-you 球笼油
qiu-mian-cha-tou 球面插头
qiu-mian-tao-guan 球面套管
qiu-mian-xiao-zong-cheng 球面销总成
qiu-tou 球头
qiu-tou-xiao-ji-zuo 球头销及座
qiu-tou-xiao-zhi-jia 球头销支架
qiu-xiao-dian-quan 球销垫圈
qiu-xiao-si-du 球销丝堵
qu-dong-fang-hua-xi-tong 驱动防滑系统
qu-dong-lun 驱动轮
qu-dong-xiao 驱动销
qu-dong-zhou 驱动轴
qu-li-qi 取力器
qu-li-qi-dao-wei-kai-guan 取力器到位开关
qu-li-qi-huan-dang-chi-lun 取力器换档齿轮
qu-li-qi-huan-qi-shi 取力器换气室
qu-li-qi-shuang-lian-chi-lun 取力器双联齿轮
qu-li-qi-zong-cheng 取力器总成
qu-zhou 曲轴
qu-zhou-dang-you-pan 曲轴挡油盘
qu-zhou-fen-you-chi-lun 曲轴分油齿轮
qu-zhou-hou-you-feng 曲轴后油封
qu-zhou-jian-zhen-qi 曲轴减振器
qu-zhou-jiao-zheng-she-bei 曲轴校正设备
qu-zhou-mo-chuang 曲轴磨床
qu-zhou-pi-dai-lun 曲轴皮带轮
qu-zhou-pi-dai-lun-ke 曲轴皮带轮壳
qu-zhou-pi-dai-pan 曲轴皮带盘
qu-zhou-wa 曲轴瓦
qu-zhou-zheng-shi-chi-lun 曲轴正时齿轮
qu-zhou-zhi-tui-pian 曲轴止推片
qu-zhou-zhou-cheng-pian 曲轴轴承片
quan-che-dian 全车垫
quan-che-suo 全车锁
quan-che-xian 全车线
quan-fang-wei-che-ti-xi-zhuang-jie-gou 全方位车体吸撞结构
quan-lun-qu-dong 全轮驱动
quan-mian-an-quan-fang-hu 全面安全防护
quan-shi-shu-zi-jiao-che 全时数字轿车
ran-you-bang-pu 燃油帮浦
ran-you-beng 燃油泵
ran-you-dao-gui 燃油导轨
ran-you-di-wei-zhi-shi-deng 燃油低位指示灯
ran-you-fen-pei-qi 燃油分配器
ran-you-guan 燃油管
ran-you-guan-gu-ding-jia 燃油管固定架
ran-you-guan-hu-ban 燃油管护板
ran-you-guan-lu 燃油管路
ran-you-lv 燃油滤
ran-you-lv-qing-qi 燃油滤清器
ran-you-lv-xin 燃油滤芯
ran-you-xiang 燃油箱
ran-you-ya-li-biao 燃油压力表
rao-liu-ban 扰流板
re-feng-hu-ban 热风护板
re-kong-qi-pen-she-qi 热空气喷射器
re-min-kai-guan 热敏开关
ri-chan 日产
ri-shi-fu-ling 日蚀福铃
rong-wei 荣威
rong-yu 荣御
rui-chi 锐驰
rui-qi 锐琪
rui-qi 瑞麒
rui-tu 瑞途
rui-zhi 锐志
run-hua-ji 润滑剂
sa-bo 萨博
sa-la-bi-jia-suo 萨拉毕加索
sa-ma-de-han-ma 萨马德悍马
sai-bai-ling 赛百灵
sai-bao-xi 赛豹系
sai-che 赛车
sai-fei-ya 赛菲娅
sai-fu 赛弗
sai-ku-you-ni-ke 赛酷优尼柯
sai-la-shi-zi-dong-men-zhuang-zhi 塞拉式自动门装置
sai-la-tu 赛拉图
sai-li-ka 赛利卡
sai-na 赛纳
san-jiao-zhuang 三角装
san-ling 三菱
san-ling-qi-che 三菱汽车
san-ling-wo-er-wo-bin-li 三菱沃尔沃宾利
san-quan-shi-jian 三圈饰件
san-re-qi-cheng-gan 散热器撑杆
san-re-qi-zhe-ye 散热器折叶
san-re-qi-zhuang-shi-jian 散热器装饰件
san-xiang-jia-yong-che 三厢家用车
san-yuan-cui-hua-qi 三元催化器
sang-di-ya 桑蒂雅
sang-ta-na 桑塔纳
sha-che 刹车
sha-che-deng 刹车灯
sha-che-deng-kai-guan 刹车灯开关
sha-che-deng-pao 刹车灯泡
sha-che-fen-beng 刹车分泵
sha-che-gu 刹车鼓
sha-che-pan 刹车盘
sha-che-pian 刹车片
sha-che-qian 刹车钳
sha-che-ta-ban 刹车踏板
sha-che-ti 刹车蹄
sha-che-xi-tong 刹车系统
sha-che-you 刹车油
sha-che-you-guan-gu-ding-jia 刹车油管固定架
sha-che-you-wei-chuan-gan-qi 刹车油位传感器
sha-che-zong-beng 刹车总泵
sha-mo-che 沙漠车
shan-guang-qi 闪光器
shan-xi-qi-che 陕西汽车
shan-xing-zi-suo-kuai 扇形自锁块
shan-zi-lan 闪紫兰
shang-bi-dai-qiu-xiao-zong-cheng 上臂带球销总成
shang-biao-gai 商标盖
shang-hai-da-zhong 上海大众
shang-hai-da-zhong-si-ke-da 上海大众斯柯达
shang-hai-tong-yong 上海通用
shang-heng-bi 上横臂
shang-qi-ji-tuan 上汽集团
shang-qi-sai-bao 上汽赛宝
shang-tui-li-gan 上推力杆
shen-long-fu-kang 神龙富康
shen-long-ke-che 申龙客车
sheng-chan-gong-yi-ji-shu 生产工艺技术
sheng-jiang-qi-dian-ji 升降器电机
shi-fang-gan 释放杆
shi-gu-che 事故车
shi-gui-ya-lun 时规压轮
shi-jia 试驾
shi-jie-tu-xing-xing 使节土星型
shi-jue 世爵
shi-jue-xi-lie 世爵系列
shi-pao 狮跑
shi-pao-mo-shou 狮跑魔兽
shi-yun 时韵
shi-zi-zhou 十字轴
shou-dong-beng 手动泵
shou-dong-bian-su-xiang-you 手动变速箱油
shou-fen-gong-si 售分公司
shou-ji-dong-fa 手继动阀
shou-ji-jia 手机架
shou-kou-fang-hua-mo 手扣防划膜
shou-sha 手刹
shou-sha-che-kai-guan 手刹车开关
shou-sha-che-la-bing 手刹车拉柄
shou-sha-che-la-xian 手刹车拉线
shou-zhi-dong-cao-zong-fa 手制动操纵阀
shou-zhi-dong-la-gan 手制动拉杆
shu-chu-fa-lan 输出法兰
shu-chu-xin-xi-xian-shi-ping 输出信息显示屏
shu-chu-zhou 输出轴
shu-guang-qi-che 曙光汽车
shu-ru-kai-guan-xin-xi-ping 输入开关信息屏
shu-ru-zhou 输入轴
shu-ru-zhou-duan-gai 输入轴端盖
shu-you-guan-zuo 输油管座
shu-zi-shi-wan-yong-dian-biao 数字式万用电表
shuai-lun 甩轮
shuai-wei 帅威
shuai-wei 甩尾
shuang-ding-zhi-tu-lun-zhou 双顶置凸轮轴
shuang-guan-jia-gu 双管夹箍
shuang-huan-ao-di 双环奥迪
shuang-huan-qi-che 双环汽车
shuang-hui-lu-bao-xian-fa 双回路保险阀
shuang-kong-chuan-xian-tao 双孔穿线套
shuang-long 双龙
shuang-pai-pi-ka 双排皮卡
shuang-qiang-fang-chen-tao 双腔防尘套
shuang-qiang-gong-zuo-pi-wan 双腔工作皮碗
shuang-qiang-tui-gan 双腔推杆
shuang-qiang-xiao-pi-wan 双腔小皮碗
shuang-qiang-xiu-li-bao 双腔修理包
shuang-qiang-zhi-dong-pi-wan 双腔制动皮碗
shuang-qiang-zhi-dong-shi 双腔制动室
shuang-qiang-zhi-dong-shi-huang 双腔制动室簧
shuang-qu-xian-chi-lun 双曲线齿轮
shuang-tou-luo-si 双头螺丝
shuang-yin-qing 双引擎
shuang-zhen-qi-ya-biao 双针气压表
shui-bei-jia 水杯架
shui-beng-jin-shui-guan 水泵进水管
shui-beng-pi-dai-lun 水泵皮带轮
shui-beng-shui-feng 水泵水封
shui-beng-zhou 水泵轴
shui-ruan-guan 水软管
shui-wen-bao-jing-kai-guan 水温报警开关
shui-wen-chuan-gan-qi 水温传感器
shui-wen-gan-ying-sai 水温感应塞
shui-wen-sai 水温塞
shui-wen-zhi-shi-deng 水温指示灯
shui-xiang-fang-shui-kai-guan 水箱放水开关
shui-xiang-feng-shan 水箱风扇
shui-xiang-jia-shui-kou-zong-cheng 水箱加水口总成
shui-xiang-jiao-dian 水箱胶垫
shui-xiang-jiao-guan 水箱胶管
shui-xiang-jin-shui-ruan-guan 水箱进水软管
shui-xiang-kuang-jia 水箱框架
shui-xiang-kuang-jia-jiao-tiao 水箱框架胶条
shui-xiang-shui-guan 水箱水管
shui-xiang-zhi-jia 水箱支架
si-ba-lu 斯巴鲁
si-bo-rui 思铂睿
si-chuan-feng-tian 四川丰田
si-dang-gun-zi-ge-tao 四档滚子隔套
si-di 思迪
si-ke-da 斯柯达
si-lun-ding-wei 四轮定位
si-lun-ding-wei-yi 四轮定位仪
si-lun-qu-dong 四轮驱动
si-pai-de-gong-jue 斯派德公爵
si-qu 四驱
si-tai-er 斯泰尔
si-yu 思域
su-du-chuan-gan-qi 速度传感器
su-teng 速腾
su-wei 速威
su-zhou-jin-long 苏州金龙
sui-che-gong-ju 随车工具
sui-dong-zha 随动闸
sun-huai-bu-tui 损坏不退
suo-ban-dian-ban 锁板垫板
suo-ban-ya-ban 锁板压板
suo-ban-zhi-xiao 锁板支销
suo-jiang-gong-ju 锁匠工具
suo-kuai 锁块
suo-na-ta 索纳塔
suo-na-ta-yu-xiang 索纳塔御翔
suo-nuo-ma 索诺马
ta-ban-hu-tao 踏板护套
ta-he-kai-di 塔荷凯帝
ta-ku-ma-jing-ling 塔库马精灵
tai-ling 胎铃
tai-ping-yang-qi-che-wang 太平洋汽车网
tai-sao 台扫
tai-ya-ji 胎压计
tai-ya-jian-shi-xi-tong 胎压监视系统
tai-yang-lun 太阳轮
tai-yang-lun-dang-pian 太阳轮挡片
tan-guan-lv-xin 碳罐滤芯
tan-huang-chu-neng-kai-guan 弹簧储能开关
tan-huang-jia-zi 弹簧夹子
tan-huang-tuo-pan 弹簧托盘
tan-huang-ya-kuai 弹簧压块
tan-xing-an-zhuang-jia-tou 弹性安装夹头
tan-xing-dang-quan 弹性挡圈
tan-xing-fang-song-dian 弹性放松垫
tan-xing-fang-song-dian-quan 弹性放松垫圈
tao-mu-shi-jian 桃木饰件
te-jie 特杰
te-rui 特锐
te-rui-bao-ma-xi 特锐宝马系
te-se-tao-mu-zhi-zuo 特色桃木制作
te-wei-er 特威尔
te-zhong-che-zhuan-yong-pei-jian 特种车专用配件
ti-qian-qi 提前器
ti-qian-qi-zong-cheng 提前器总成
ti-sheng-zhou-zhi-shi-deng 提升轴指示灯
ti-su-qi 提速器
tian-chuang-kai-guan 天窗开关
tian-jin-yi-qi 天津一汽
tian-lai 天籁
tian-ma-qi-che 天马汽车
tiao-jie-dian-ji 调节电机
tiao-jie-jian-zhi-jia 调节件支架
tiao-qi-she-bei 调漆设备
tiao-zheng-dian-pian 调整垫片
ting-che-chang 停车场
ting-che-suo-zhi-chi-lun 停车锁止齿轮
ting-zhu 挺柱
tong-bu-chi-lun 同步齿轮
tong-bu-huan 同步环
tong-bu-qi 同步器
tong-dao-ge-re-ban 通道隔热板
tong-dao-jia-qiang-ban 通道加强板
tong-feng-fa 通风阀
tong-feng-ge-shan 通风格栅
tong-feng-ruan-guan 通风软管
tong-feng-she-bei-shi-ban 通风设备饰板
tong-feng-zhao-gai 通风罩盖
tong-qi-sai 通气塞
tong-tian 通田
tong-yong-jian-yu-biao-zhun-jian 通用件与标准件
tong-yue 同悦
tou-zhen 头枕
tou-zhen-dao-xiao 头枕导销
tu-an 途安
tu-an-yun-que 途安云雀
tu-lei-duo 图雷多
tu-lun-zhou 凸轮轴
tu-lun-zhou-lian-lun 凸轮轴链轮
tu-lun-zhou-pi-dai-lun 凸轮轴皮带轮
tu-lun-zhou-wa-zuo 凸轮轴瓦座
tu-lun-zhou-zheng-shi-chi-lun 凸轮轴正时齿轮
tu-sheng 途胜
tu-si-kan-se-bo-la 图斯坎瑟伯拉
tu-xing-xing 土星型
tu-yuan 凸缘
tui-kuai-nei-tan-huang 推块内弹簧
tui-kuai-wai-tan-huang 推块外弹簧
tui-li-gan 推力杆
tui-li-gan-hou-zuo-zhi-jia 推力杆后左支架
tui-li-gan-qian-you-zhi-jia 推力杆前右支架
tui-li-gan-qian-zuo-zhi-jia 推力杆前左支架
tuo-che-sheng 拖车绳
tuo-cheng-zhuan-xiang-cao-zong-qi 托承转向操纵器
wai-bai-shi-zi-dong-men-zhuang-zhi 外摆式自动门装置
wai-li-he-qi 外离合器
wai-qiu-long 外球笼
wai-qiu-long-fang-chen-tao 外球笼防尘套
wan-feng-qi-che 万丰汽车
wan-la-gan 弯拉杆
wan-xiang-jie 万向节
wan-xiang-jie-gai-ban 万向节盖板
wan-xiang-ye-ya 万向液压
wan-xing-sai-pian 碗形塞片
wan-zhuang-zhou-cheng 碗状轴承
wei-chi 威驰
wei-chi-fei-teng 威驰飞腾
wei-da 威达
wei-deng 尾灯
wei-deng-zhi-jia 尾灯支架
wei-deng-zuo 尾灯座
wei-jin-qiao 卫金桥
wei-la-ke-si 维拉克斯
wei-le 威乐
wei-long-xia-lang 威龙夏朗
wei-qi-xun-huan 尾气循环
wei-xian-bao-jing-kai-guan 危险报警开关
wei-xiang-di 尾箱底
wei-xiang-fu-jian 尾箱附件
wei-xiang-gai 尾箱盖
wei-xiang-gai-zhuang-shi-jian 尾箱盖装饰件
wei-xiang-shang-gai 尾箱上盖
wei-xiang-xia-di 尾箱下底
wei-xing-che 微型车
wei-yi 尾翼
wei-zhi 威志
wei-zi 威姿
wen-da-kang-tuo 稳达康拓
wen-ding-gan 稳定杆
wen-ding-gan-tuo-jia 稳定杆托架
wen-du-mu-wei-zi 温杜姆威姿
wen-kong-kai-guan 温控开关
wo-er-wo 沃尔沃
wo-er-wo-li-cheng 沃尔沃里程
wo-ke-si-hao-er 沃克斯豪尔
wo-lun-zeng-ya 涡轮增压
wu-deng 雾灯
wu-deng-deng-pao 雾灯灯泡
wu-deng-pao 雾灯泡
wu-deng-wang 雾灯网
wu-deng-zong-cheng 雾灯总成
wu-gu-yu-gua 无骨雨刮
wu-ji-bian-su-qi 无级变速器
wu-li-he-qi-dian-zi-shou-pai-xi-tong 无离合器电子手排系统
wu-ling 五菱
wu-ling-chang-he 五菱昌河
wu-lun-ding-wei-yi 五轮定位仪
wu-lun-yi 五轮仪
wu-shi-ling 五十铃
wu-yang-kuan-ta-ban 五羊款踏板
wu-yao-shi-qi-dong 无钥匙启动
xi-che 洗车
xi-che-gong-ju 洗车工具
xi-che-shui-guan 洗车水管
xi-ge-ma-jie-bao-xi-lie 西格玛捷豹系列
xi-huo 熄火
xi-li-kai-guan 吸力开关
xi-ma 西玛
xi-ma-feng-du 西玛风度
xi-neng-gang 吸能杠
xi-qi-guan 吸气管
xi-qi-ruan-guan 吸气软管
xi-ye-na 西耶那
xi-you-guan 吸油管
xia-bi 下臂
xia-bi-dai-qiu-xiao-zong-cheng 下臂带球销总成
xia-heng-bi 下横臂
xia-li 夏利
xia-liang-jia-gu-ban 下梁加固板
xia-tui-li-gan 下推力杆
xian-hua-cha-su-qi 限滑差速器
xian-qi-deng 氙气灯
xiang-jiao-bao-hu-mao 橡胶保护帽
xiang-jiao-fa-men 橡胶阀门
xiang-jiao-hu-tao 橡胶护套
xiang-jiao-jin-shu-zhi-zuo 橡胶金属支座
xiang-jiao-zhi-zuo-dian-ban 橡胶支座垫板
xiang-jiao-zhi-zuo-zong-cheng 橡胶支座总成
xiang-ti-jin-you-guan-zong-cheng 箱体进油管总成
xiang-xin-gun-zhu-zhou-cheng 向心滚珠轴承
xiao-ba-chi 小八齿
xiao-gai-zu-jian 小盖组件
xiao-jin-qi-gang-gai-luo-shuan 校紧气缸盖螺栓
xiao-ke 逍客
xiao-pai-liang-qi-che 小排量汽车
xiao-sheng-qi 消声器
xiao-shui-xiang 小水箱
xiao-yin-huan-chong-xiang-jiao 消音缓冲橡胶
xiao-yin-qi 消音器
xie-biao-fu-he-pi-dai 楔表复合皮带
xie-xing-fu-he-shi-pi-dai-lun 楔形复合式皮带轮
xin-ai-li-she 新爱丽舍
xin-ao-de-sai 新奥德赛
xin-che 新车
xin-che-xing 新车型
xin-feng-rui 新锋锐
xin-hao-la-ba 信号喇叭
xin-huang-guan 新皇冠
xin-jie-da 新捷达
xin-jun-wei 新君威
xin-kai-yue 新凯越
xin-ling-yu 新领驭
xin-si-yu 新思域
xin-tian-lai 新天籁
xing-che-deng 行车灯
xing-fu-shi-zhe 幸福使者
xing-li-jia 行李架
xing-li-xiang-gai 行李箱盖
xing-li-xiang-gai-suo 行李箱盖锁
xing-li-xiang-nei-chen 行李箱内衬
xing-li-xiang-suo 行李箱锁
xing-li-xiang-zhan-dian 行李箱毡垫
xing-shi-xi-tong 行驶系统
xing-tui-li-gan 型推力杆
xing-tui-li-gan-you-zhi-zuo 型推力杆右支座
xing-tui-li-gan-zong-cheng 型推力杆总成
xing-tui-li-gan-zuo-zhi-zuo 型推力杆左支座
xing-xing-chi-lun-dian 行星齿轮垫
xing-xing-chi-lun-tuo-jia 行星齿轮托架
xing-xing-jia 行星架
xing-xing-lun 行星轮
xing-yun 星韵
xing-zou-beng 行走泵
xiu-xian-che 休闲车
xuan-dang-zhi-cheng-zhou 选档支撑轴
xuan-jia 悬架
xuan-jia-shi-yan-tai 悬架试验台
xuan-li-lu-zun 炫丽路尊
xuan-yi 轩逸
xuan-zhuan-fen-liu-fa 旋转分流阀
xue-fo-lan 雪佛兰
xue-fo-lan-le-chi 雪佛兰乐驰
xue-fu-lan 雪弗兰
xue-tie-long 雪铁龙
ya-ban-dian-kuai 压板垫块
ya-ge 雅阁
ya-jun 雅骏
ya-li-tan-huang 压力弹簧
ya-li-tiao-jie-qi 压力调节器
ya-li-zhou-cheng 压力轴承
ya-pan 压盘
ya-qian-shi-zi-suo-cha-su-qi 牙嵌式自锁差速器
ya-shen 雅绅
ya-shen-te 雅绅特
ya-suo-bi 压缩比
ya-suo-ji-gu-ding-jia 压缩机固定架
ya-suo-ji-ji-you 压缩机机油
ya-suo-kong-qi-tan-huang-zhi-zuo 压缩空气弹簧支座
ya-zhou-long 亚洲龙
yan-guang-ming 颜光明
yan-hui-gang-gai 烟灰缸盖
yang-chuan-gan-qi 氧传感器
yang-zai-shun 杨再舜
yang-zi-qi-che 扬子汽车
yao-bi-zhou 摇臂轴
yao-chuang-ji 摇窗机
ye-dan-jia-su 液氮加速
ye-guan-che 液罐车
ye-lun-beng 叶轮泵
ye-ma-fu-te 野马福特
ye-ya-ting-gan 液压挺杆
ye-ya-you-guan 液压油管
ye-ya-you-ya-li-biao 液压油压力表
ye-zi-ban 叶子板
yi-bao 翼豹
yi-biao-deng 仪表灯
yi-biao-deng-pao 仪表灯泡
yi-biao-pan 仪表盘
yi-biao-pan-heng-liang 仪表盘横梁
yi-biao-pan-zong-cheng 仪表盘总成
yi-biao-tai 仪表台
yi-biao-zhao 仪表罩
yi-biao-zhi-shi-deng 仪表指示灯
yi-che-wang 易车网
yi-da 颐达
yi-da-ma-zi-da-tu-rui 颐达马自达途锐
yi-dang-chi-lun 一档齿轮
yi-dao-dang-cha-zhou 一倒档叉轴
yi-dao-dang-chi-tao 一倒档齿套
yi-dao-dang-chi-zuo 一倒档齿座
yi-dao-dang-zhou-cheng-ge-tao 一倒档轴承隔套
yi-lan-te 伊兰特
yi-lan-te-yue-dong 伊兰特悦动
yi-qi 一汽
yi-qi-ao-di 一汽奥迪
yi-qi-da-fa 一汽大发
yi-qi-da-zhong 一汽大众
yi-qi-feng-tian 一汽丰田
yi-qi-hong-ta 一汽红塔
yi-qi-ji-lin 一汽吉林
yi-qi-jia-xing 一汽佳星
yi-qi-jiao-che 一汽轿车
yi-qi-ma-zi-da 一汽马自达
yi-qi-tai-hu 一汽太湖
yi-si-tan-na 伊思坦纳
yi-wei-ke 依维柯
yi-you-fa 溢油阀
yi-zhou-dang-you-pan 一轴挡油盘
yi-zhou-zhou-cheng-gai 一轴轴承盖
yi-zi-ban 翼子板
yin-bao-ta-ban 银豹踏板
yin-mei 银魅
yin-qing-bo-si 引擎波司
yin-qing-ling-jian 引擎零件
yin-qing-xiu-li-bao 引擎修理包
yin-qing-zhi-cheng 引擎支撑
yin-shua-dian-lu-bo-mo 印刷电路薄膜
yin-xiang-la-ba 音响喇叭
ying-fei-ni-di 英菲尼迪
ying-ji-deng-kai-guan 应急灯开关
ying-ji-fa 应急阀
ying-lang 英朗
ying-pai-yue-ye-che 硬派越野车
you-beng-ti 油泵体
you-beng-zong-cheng 油泵总成
you-bian-tiao 右边条
you-bian-tiao-san-quan-shi-jian 右边条三圈饰件
you-di-hu-ban 油底护板
you-di-ke 油底壳
you-di-ke-dian 油底壳垫
you-di-ke-mi-feng-dian 油底壳密封垫
you-dong-chi-lun 游动齿轮
you-du 油堵
you-feng 油封
you-fu-zhou-zong-cheng 右副轴总成
you-guan 油管
you-guan-zhi-jia 油管支架
you-hao-chuan-gan-qi 油耗传感器
you-hao-yi 油耗仪
you-hou-yi-zi-ban 右后翼子板
you-huan 油环
you-lian-gai 右链盖
you-lian-gai-zhuang-shi-jian 右链盖装饰件
you-lu-zong-cheng-ce-shi-ji 油路总成测试机
you-men-la-si 油门拉丝
you-men-la-xian 油门拉线
you-men-ta-ban 油门踏板
you-qian-men 右前门
you-qian-ye-zi-ban 右前叶子板
you-si-pan 游丝盘
you-tian-zhuan-yong-che 油田专用车
you-xiang 油箱
you-xiang-duan-mian-dian-ban 油箱端面垫板
you-xiang-fu-tong 油箱浮筒
you-xiang-gai 油箱盖
you-xiang-jin-gu-dai 油箱紧固带
you-xiang-jin-gu-dai-dian-ban 油箱紧固带垫板
you-xiang-tuo-jia 油箱托架
you-xiang-zhi-jia-dian-ban 油箱支架垫板
you-xiao-mo-ca-mian-ji 有效摩擦面积
you-ya-bao-jing-kai-guan 油压报警开关
you-zhuan-xiang 右转向
you-zhuan-xiang-kai-guan 右转向开关
yu-gua 雨刮
yu-gua-qi 雨刮器
yu-gua-qi-lun-tai 雨刮器轮胎
yu-hu 驭虎
yu-jin-shi-an-quan-dai 预紧式安全带
yu-kong-he 育空河
yu-liang-chuan-gan-qi 雨量传感器
yu-shua 雨刷
yu-shua-bi 雨刷臂
yu-shua-dai-bi 雨刷代臂
yu-shua-dai-bi-zong-cheng 雨刷带臂总成
yu-shua-dian-ji 雨刷电机
yu-shua-kai-guan 雨刷开关
yu-shua-pen-shui-dian-ji 雨刷喷水电机
yu-shua-pen-shui-guan 雨刷喷水管
yu-shua-pian 雨刷片
yu-shua-qi-zong-cheng 雨刷器总成
yu-shua-shui-hu 雨刷水壶
yu-tong-ke-che 宇通客车
yuan-bao-liang 元宝梁
yuan-guang-deng 远光灯
yuan-guang-deng-pao 远光灯泡
yuan-guang-kai-guan 远光开关
yuan-guang-zhi-shi-deng 远光指示灯
yuan-jian 远舰
yuan-jian-ao-di 远舰奥迪
yuan-jian-er-dai 远舰二代
yuan-quan-dian-du-jian 圆圈电镀件
yuan-xing-mi-feng-huan 圆形密封环
yuan-zhu-bei-dong-lun 园柱被动轮
yuan-zhu-luo-shuan 圆柱螺栓
yuan-zhu-zhu-dong-chi-lun-zhou 园柱主动齿轮轴
yuan-zhu-zhu-dong-lun 园柱主动轮
yuan-zhui-gun-zi-zhou-cheng 圆锥滚子轴承
yuan-zhui-zhu-bei-dong-chi-lun 园锥主被动齿轮
yue-du-deng 阅读灯
yue-jin 跃进
yue-si-di 约斯帝
yue-xiang 悦翔
yue-ye-che 越野车
yun-bi 云碧
yun-dong-qi-che 运动汽车
yun-dong-xing 运动星
